EC_number,Type,Value,Substrate,enzymeType,Organism
1.1.1.1,km,0.28,NADPH,wildtype,Pyrococcus furiosus
1.1.1.1,km,0.6,NADPH,wildtype,Yokenella sp.
1.1.1.1,km,0.001,NAD+,wildtype,Aeropyrum pernix
1.1.1.1,km,0.00694,NAD+,wildtype,Oryctolagus cuniculus
1.1.1.1,km,0.0074,NAD+,wildtype,Homo sapiens
1.1.1.1,km,0.0074,NAD+,wildtype,Homo sapiens
1.1.1.1,km,0.0079,NAD+,wildtype,Homo sapiens
1.1.1.1,km,0.0079,NAD+,wildtype,Homo sapiens
1.1.1.1,km,0.0087,NAD+,wildtype,Homo sapiens
1.1.1.1,km,0.0087,NAD+,wildtype,Homo sapiens
1.1.1.1,km,0.011,NAD+,wildtype,Scaptodrosophila lebanonensis
1.1.1.1,km,0.013,NAD+,wildtype,Homo sapiens
1.1.1.1,km,0.013,NAD+,wildtype,Homo sapiens
1.1.1.1,km,0.02,NAD+,wildtype,Mycobacterium sp.
1.1.1.1,km,0.022,NAD+,wildtype,Homo sapiens
1.1.1.1,km,0.025,NAD+,wildtype,Homo sapiens
1.1.1.1,km,0.028,NAD+,wildtype,Scaptodrosophila lebanonensis
1.1.1.1,km,0.037,NAD+,wildtype,Zea mays
1.1.1.1,km,0.04,NAD+,wildtype,Rattus norvegicus
1.1.1.1,km,0.04,NAD+,wildtype,Acetobacter pasteurianus
1.1.1.1,km,0.044,NAD+,wildtype,Rattus norvegicus
1.1.1.1,km,0.05,NAD+,wildtype,Rattus norvegicus
1.1.1.1,km,0.05,NAD+,wildtype,Oenococcus oeni
1.1.1.1,km,0.0531,NAD+,wildtype,Oryctolagus cuniculus
1.1.1.1,km,0.057,NAD+,wildtype,Rattus norvegicus
1.1.1.1,km,0.059,NAD+,wildtype,Saccharomyces cerevisiae
1.1.1.1,km,0.063,NAD+,wildtype,Homo sapiens
1.1.1.1,km,0.063,NAD+,wildtype,Pyrococcus furiosus
1.1.1.1,km,0.073,NAD+,wildtype,Zymomonas mobilis
1.1.1.1,km,0.074,NAD+,wildtype,Megalodesulfovibrio gigas
1.1.1.1,km,0.074,NAD+,wildtype,Homo sapiens
1.1.1.1,km,0.076,NAD+,wildtype,Meyerozyma guilliermondii
1.1.1.1,km,0.089,NAD+,wildtype,Thermococcus kodakarensis
1.1.1.1,km,0.099,NAD+,wildtype,Rattus norvegicus
1.1.1.1,km,0.1,NAD+,wildtype,Triticum monococcum
1.1.1.1,km,0.1,NAD+,wildtype,Triticum turgidum
1.1.1.1,km,0.1,NAD+,wildtype,Rattus norvegicus
1.1.1.1,km,0.1,NAD+,wildtype,Euglena gracilis
1.1.1.1,km,0.11,NAD+,wildtype,Zymomonas mobilis
1.1.1.1,km,0.115,NAD+,wildtype,Rattus norvegicus
1.1.1.1,km,0.12,NAD+,wildtype,Leifsonia sp.
1.1.1.1,km,0.125,NAD+,wildtype,Chlamydomonas moewusii
1.1.1.1,km,0.127,NAD+,wildtype,Thermococcus kodakarensis
1.1.1.1,km,0.13,NAD+,wildtype,Thermus sp.
1.1.1.1,km,0.136,NAD+,wildtype,Brassica napus
1.1.1.1,km,0.155,NAD+,wildtype,Brassica napus
1.1.1.1,km,0.17,NAD+,wildtype,Sporotrichum pulverulentum
1.1.1.1,km,0.18,NAD+,wildtype,Homo sapiens
1.1.1.1,km,0.18,NAD+,wildtype,Sulfolobus acidocaldarius
1.1.1.1,km,0.185,NAD+,wildtype,Brassica napus
1.1.1.1,km,0.19,NAD+,wildtype,Drosophila simulans
1.1.1.1,km,0.195,NAD+,wildtype,Candida sp. (in: Saccharomycetales)
1.1.1.1,km,0.2,NAD+,wildtype,Drosophila virilis
1.1.1.1,km,0.2,NAD+,wildtype,Rattus norvegicus
1.1.1.1,km,0.2,NAD+,wildtype,Saccharolobus solfataricus
1.1.1.1,km,0.2,NAD+,wildtype,Saccharolobus solfataricus
1.1.1.1,km,0.224,NAD+,wildtype,Brassica napus
1.1.1.1,km,0.23,NAD+,wildtype,Coturnix coturnix
1.1.1.1,km,0.23,NAD+,wildtype,Pyrococcus furiosus
1.1.1.1,km,0.239,NAD+,wildtype,Geobacillus stearothermophilus
1.1.1.1,km,0.24,NAD+,wildtype,Thermus thermophilus
1.1.1.1,km,0.24,NAD+,wildtype,Thermus thermophilus
1.1.1.1,km,0.25,NAD+,wildtype,Rattus norvegicus
