Epoch	Time(sec)	Loss_train	MAE_train	RMSE_train	R2_train	loss_val	MAE_val	MAE_test	RMSE_val	RMSE_test	R2_val	R2_test	Lr
1	535.2159	19.2011	3.366	4.3819	0.249	16.1428	3.0189	2.9823	4.0178	3.9862	0.376	0.3756	0.001
2	1099.8866	14.483	2.8915	3.8057	0.4335	14.5388	2.8233	2.802	3.813	3.7724	0.438	0.4408	0.001
3	1640.6195	12.9878	2.7324	3.6039	0.492	14.143	2.7987	2.8039	3.7607	3.7281	0.4533	0.4538	0.001
4	1970.8413	12.1278	2.6244	3.4825	0.5256	13.9277	2.7382	2.7347	3.732	3.6775	0.4616	0.4686	0.001
5	2260.5278	11.6189	2.5711	3.4087	0.5455	13.8639	2.741	2.7505	3.7234	3.6874	0.4641	0.4657	0.001
6	2546.5734	11.1435	2.5033	3.3382	0.5641	13.56	2.7465	2.7469	3.6824	3.6604	0.4758	0.4735	0.001
7	2836.4544	11.0298	2.4835	3.3211	0.5686	13.3727	2.6703	2.6806	3.6569	3.6362	0.4831	0.4804	0.001
8	3125.643	10.948	2.4764	3.3088	0.5718	13.4988	2.703	2.7121	3.6741	3.6785	0.4782	0.4683	0.001
9	3415.8047	10.8364	2.4621	3.2919	0.5761	13.9503	2.7692	2.7777	3.735	3.712	0.4608	0.4585	0.001
10	3726.842	10.649	2.4403	3.2633	0.5835	13.8153	2.7676	2.7599	3.7169	3.6923	0.466	0.4642	0.001
11	4014.963	10.6861	2.4459	3.269	0.582	13.5241	2.6863	2.6974	3.6775	3.6472	0.4772	0.4773	0.001
12	4302.3549	10.7385	2.4503	3.277	0.58	13.4501	2.6698	2.6725	3.6674	3.6457	0.4801	0.4777	0.001
13	4590.2435	10.6162	2.4259	3.2583	0.5848	13.3183	2.6716	2.6926	3.6494	3.6517	0.4852	0.476	0.0009000000000000001
14	4907.1785	10.2423	2.384	3.2004	0.5994	13.5594	2.6589	2.6799	3.6823	3.6755	0.4759	0.4691	0.0009000000000000001
15	5228.2473	10.2245	2.3764	3.1976	0.6001	13.9131	2.7689	2.7313	3.73	3.6761	0.4622	0.4689	0.0009000000000000001
16	5519.1665	10.3216	2.3866	3.2127	0.5963	13.436	2.613	2.6208	3.6655	3.6043	0.4806	0.4895	0.0008100000000000001
17	5808.0399	10.0069	2.3447	3.1634	0.6086	13.2185	2.6193	2.6477	3.6357	3.6614	0.489	0.4732	0.0008100000000000001
18	6161.9844	10.0254	2.3411	3.1663	0.6079	12.8875	2.6144	2.6322	3.5899	3.5841	0.5018	0.4952	0.0008100000000000001
19	6474.3329	10.0776	2.3425	3.1745	0.6058	12.8115	2.5983	2.6159	3.5793	3.5891	0.5048	0.4938	0.000729
20	6763.0131	9.7953	2.3123	3.1297	0.6169	12.7808	2.6168	2.6208	3.575	3.5625	0.506	0.5013	0.000729
21	7070.0784	9.724	2.2985	3.1183	0.6197	13.0235	2.6046	2.6457	3.6088	3.6439	0.4966	0.4782	0.000729
22	7419.1519	9.7488	2.3041	3.1223	0.6187	13.283	2.6043	2.6318	3.6446	3.6339	0.4866	0.4811	0.000729
23	7714.5823	9.6846	2.2944	3.112	0.6212	12.9343	2.5824	2.5961	3.5964	3.5539	0.5	0.5037	0.0006561000000000001
24	8002.3304	9.6112	2.2818	3.1002	0.6241	12.9703	2.5879	2.5998	3.6014	3.5895	0.4986	0.4937	0.0006561000000000001
25	8290.272	9.3701	2.2557	3.0611	0.6335	12.5142	2.5582	2.5731	3.5375	3.5526	0.5163	0.504	0.0006561000000000001
26	8622.1983	9.3365	2.2432	3.0556	0.6348	12.5994	2.5476	2.5746	3.5496	3.579	0.513	0.4966	0.00059049
27	8959.7523	9.1969	2.2292	3.0326	0.6403	12.8558	2.5776	2.5778	3.5855	3.5625	0.5031	0.5013	0.00059049
28	9249.0013	9.0757	2.2106	3.0126	0.645	12.8001	2.5696	2.5846	3.5777	3.5746	0.5052	0.4979	0.00059049
29	9550.1102	9.1533	2.2153	3.0254	0.642	12.7138	2.5434	2.5644	3.5656	3.5612	0.5086	0.5016	0.000531441
30	9853.9622	9.0946	2.2019	3.0157	0.6443	12.4094	2.5358	2.5677	3.5227	3.5376	0.5203	0.5082	0.000531441
31	10141.5962	8.8539	2.1817	2.9756	0.6537	12.6517	2.5407	2.5565	3.5569	3.5648	0.511	0.5006	0.000531441
32	10434.37	8.918	2.1814	2.9863	0.6512	12.4915	2.5236	2.5649	3.5343	3.536	0.5171	0.5087	0.000531441
33	10733.368	8.9117	2.1819	2.9852	0.6514	12.3167	2.5001	2.5571	3.5095	3.567	0.5239	0.5	0.0004782969
34	11035.2757	8.768	2.1609	2.9611	0.657	12.7737	2.5246	2.5516	3.574	3.5621	0.5062	0.5014	0.0004782969
35	11324.7093	8.6922	2.1448	2.9483	0.66	12.485	2.5083	2.5242	3.5334	3.5519	0.5174	0.5042	0.0004782969
36	11613.5725	8.6641	2.1465	2.9435	0.6611	12.2312	2.5211	2.5309	3.4973	3.4914	0.5272	0.521	0.00043046721
37	11904.0995	8.5039	2.1202	2.9161	0.6674	12.3714	2.5238	2.5177	3.5173	3.5058	0.5218	0.517	0.00043046721
38	12192.936	8.5628	2.122	2.9262	0.6651	12.3615	2.5092	2.5179	3.5159	3.5301	0.5222	0.5103	0.00043046721
39	12481.0857	8.4797	2.112	2.912	0.6683	12.186	2.4867	2.5236	3.4908	3.5172	0.529	0.5139	0.000387420489
40	12768.6764	8.3731	2.0978	2.8936	0.6725	12.2047	2.4849	2.5106	3.4935	3.4928	0.5282	0.5206	0.000387420489
41	13056.9366	8.3058	2.0886	2.882	0.6751	12.5523	2.5223	2.5499	3.5429	3.5268	0.5148	0.5112	0.000387420489
42	13343.754	8.306	2.0963	2.882	0.6751	12.0774	2.4918	2.5384	3.4753	3.4952	0.5332	0.5199	0.000387420489
43	13631.0823	8.2751	2.0839	2.8766	0.6763	12.2896	2.5009	2.5065	3.5056	3.505	0.525	0.5172	0.0003486784401
44	13928.3781	8.2331	2.0743	2.8693	0.678	12.0806	2.4609	2.4858	3.4757	3.4814	0.533	0.5237	0.0003486784401
45	14215.4775	8.1112	2.065	2.848	0.6827	12.3559	2.483	2.5212	3.5151	3.5457	0.5224	0.506	0.0003486784401
46	14505.562	8.0878	2.0599	2.8439	0.6837	12.3122	2.4864	2.5229	3.5089	3.5545	0.5241	0.5035	0.00031381059609000004
47	14792.8384	8.011	2.0424	2.8304	0.6867	12.0295	2.4655	2.4908	3.4684	3.501	0.535	0.5183	0.00031381059609000004
48	15079.8183	7.9331	2.0319	2.8166	0.6897	12.2516	2.4855	2.5188	3.5002	3.5446	0.5264	0.5063	0.00031381059609000004
49	15366.7758	7.8997	2.0307	2.8106	0.691	12.5494	2.519	2.5243	3.5425	3.5315	0.5149	0.5099	0.00028242953648100003
50	15774.6227	7.8515	2.0181	2.8021	0.6929	12.3847	2.4772	2.4843	3.5192	3.5169	0.5213	0.514	0.00028242953648100003
51	16209.3191	7.8035	2.0093	2.7935	0.6948	11.7857	2.444	2.4786	3.433	3.4552	0.5444	0.5309	0.00028242953648100003
52	16640.418	7.7688	2.0081	2.7873	0.6961	12.0265	2.4529	2.4574	3.4679	3.4532	0.5351	0.5314	0.00028242953648100003
53	17071.7638	7.7445	1.9962	2.7829	0.6971	12.1662	2.4452	2.4853	3.488	3.5036	0.5297	0.5176	0.00025418658283290005
54	17493.9349	7.6343	1.9883	2.763	0.7014	12.5809	2.5008	2.4954	3.547	3.5165	0.5137	0.5141	0.00025418658283290005
55	17876.4131	7.6144	1.983	2.7594	0.7022	12.0029	2.4714	2.4938	3.4645	3.4789	0.536	0.5244	0.00025418658283290005
56	18300.4913	7.6297	1.9747	2.7622	0.7016	12.1843	2.4799	2.4774	3.4906	3.4585	0.529	0.53	0.00022876792454961005
57	18717.2371	7.5087	1.965	2.7402	0.7063	12.4365	2.4704	2.4524	3.5265	3.4503	0.5193	0.5322	0.00022876792454961005
58	19158.3663	7.3758	1.9476	2.7158	0.7115	11.8413	2.4391	2.4697	3.4411	3.454	0.5423	0.5312	0.00022876792454961005
59	19577.1124	7.4451	1.9593	2.7286	0.7088	12.1196	2.4612	2.4799	3.4813	3.4977	0.5315	0.5193	0.00020589113209464906
60	19985.3673	7.4157	1.9462	2.7232	0.7099	12.1998	2.4513	2.4775	3.4928	3.4847	0.5284	0.5228	0.00020589113209464906
61	20367.1382	7.3576	1.9392	2.7125	0.7122	11.7322	2.4333	2.4689	3.4252	3.4448	0.5465	0.5337	0.00020589113209464906
62	20789.9987	7.3101	1.935	2.7037	0.7141	11.9435	2.4188	2.4527	3.4559	3.4504	0.5383	0.5322	0.00020589113209464906
63	21183.9731	7.2637	1.9256	2.6951	0.7159	12.1924	2.4758	2.4739	3.4918	3.4426	0.5287	0.5343	0.00018530201888518417
64	21570.5516	7.2138	1.9169	2.6858	0.7178	12.2535	2.4662	2.4554	3.5005	3.4716	0.5263	0.5264	0.00018530201888518417
65	21949.6987	7.1679	1.9053	2.6773	0.7196	12.243	2.4655	2.4694	3.499	3.5009	0.5268	0.5184	0.00018530201888518417
66	22301.0828	7.1896	1.9145	2.6813	0.7188	12.0421	2.4465	2.4712	3.4702	3.4828	0.5345	0.5233	0.00016677181699666576
67	22692.0857	7.1268	1.8995	2.6696	0.7212	12.3954	2.4605	2.4748	3.5207	3.5016	0.5209	0.5182	0.00016677181699666576
68	23082.3511	7.067	1.8941	2.6584	0.7236	12.1202	2.4552	2.4621	3.4814	3.4474	0.5315	0.533	0.00016677181699666576
69	23466.1885	7.0785	1.8927	2.6605	0.7231	12.1458	2.4565	2.4956	3.4851	3.4997	0.5305	0.5187	0.0001500946352969992
70	23849.5407	6.8412	1.8595	2.6156	0.7324	12.3138	2.4689	2.4739	3.5091	3.4798	0.524	0.5242	0.0001500946352969992
71	24220.358	6.8581	1.8593	2.6188	0.7317	12.4087	2.4616	2.4614	3.5226	3.4857	0.5203	0.5225	0.0001500946352969992
72	24592.1965	6.9085	1.8648	2.6284	0.7298	12.4078	2.4699	2.4673	3.5225	3.5053	0.5204	0.5171	0.0001500946352969992
73	24971.7382	6.902	1.8683	2.6272	0.73	12.3878	2.4716	2.4571	3.5196	3.4722	0.5212	0.5262	0.0001350851717672993
74	25347.1187	6.7752	1.8485	2.6029	0.735	12.4069	2.4572	2.4622	3.5223	3.4996	0.5204	0.5187	0.0001350851717672993
75	25728.0975	6.7963	1.849	2.607	0.7342	12.1285	2.4345	2.4568	3.4826	3.4739	0.5312	0.5258	0.0001350851717672993
76	26116.3393	6.7711	1.8451	2.6021	0.7352	12.1414	2.454	2.4639	3.4844	3.4803	0.5307	0.524	0.00012157665459056936
77	26476.1753	6.7115	1.8322	2.5907	0.7375	12.2329	2.4545	2.4708	3.4976	3.4822	0.5271	0.5235	0.00012157665459056936
78	26863.1484	6.6674	1.8233	2.5821	0.7392	12.2864	2.46	2.4692	3.5052	3.4998	0.5251	0.5187	0.00012157665459056936
79	27246.0324	6.6661	1.825	2.5819	0.7393	12.2331	2.448	2.4783	3.4976	3.5137	0.5271	0.5148	0.00010941898913151243
80	27626.6743	6.4436	1.792	2.5384	0.748	12.8514	2.4971	2.5061	3.5849	3.5608	0.5032	0.5018	0.00010941898913151243
81	28010.621	6.4729	1.7939	2.5442	0.7468	12.6444	2.4897	2.5053	3.5559	3.5514	0.5112	0.5044	0.00010941898913151243
82	28371.636	6.5604	1.8035	2.5613	0.7434	12.3505	2.4588	2.4719	3.5143	3.5296	0.5226	0.5104	0.00010941898913151243
83	28748.8773	6.5151	1.7984	2.5525	0.7452	12.4031	2.4547	2.49	3.5218	3.5282	0.5206	0.5108	9.847709021836118e-05
84	29138.0245	6.4288	1.787	2.5355	0.7485	12.4003	2.468	2.4701	3.5214	3.5116	0.5207	0.5154	9.847709021836118e-05
85	29526.4239	6.448	1.7905	2.5393	0.7478	12.356	2.4534	2.4864	3.5151	3.5447	0.5224	0.5063	9.847709021836118e-05
86	29914.3534	6.4023	1.7804	2.5303	0.7496	12.7343	2.4925	2.5088	3.5685	3.5625	0.5078	0.5013	8.862938119652506e-05
87	30288.943	6.3252	1.773	2.515	0.7526	12.2329	2.4459	2.4717	3.4976	3.5155	0.5271	0.5143	8.862938119652506e-05
88	30656.7947	6.3104	1.7686	2.512	0.7532	12.4431	2.4595	2.472	3.5275	3.5161	0.519	0.5142	8.862938119652506e-05
89	31040.4569	6.2546	1.7599	2.5009	0.7554	12.3752	2.4547	2.4682	3.5178	3.5209	0.5216	0.5128	7.976644307687256e-05
90	31418.3352	6.1959	1.7518	2.4892	0.7577	12.4306	2.4585	2.4751	3.5257	3.5364	0.5195	0.5085	7.976644307687256e-05
91	31801.4916	6.2239	1.7567	2.4948	0.7566	12.2481	2.4325	2.4649	3.4997	3.5436	0.5266	0.5065	7.976644307687256e-05
92	32189.0166	6.1827	1.7481	2.4865	0.7582	12.3354	2.4335	2.4563	3.5122	3.5129	0.5232	0.5151	7.976644307687256e-05
