Epoch	Time(sec)	Loss_train	MAE_train	RMSE_train	R2_train	loss_val	MAE_val	MAE_test	RMSE_val	RMSE_test	R2_val	R2_test	Lr
1	1378.5561	21.8989	3.6161	4.6796	0.1398	19.205	3.2924	3.3426	4.3824	4.3866	0.266	0.2604	0.001
2	2357.0626	16.6339	3.1039	4.0785	0.3466	17.826	3.1455	3.1925	4.2221	4.2149	0.3187	0.3172	0.001
3	3662.3807	14.3262	2.8696	3.785	0.4372	17.8399	3.1358	3.1361	4.2237	4.1119	0.3181	0.3501	0.001
4	4868.3184	12.9605	2.702	3.6001	0.4909	16.5966	3.085	3.1355	4.0739	4.0879	0.3656	0.3577	0.001
5	5970.0523	12.1794	2.6212	3.4899	0.5216	16.1333	2.9596	3.0276	4.0166	4.0114	0.3834	0.3815	0.001
6	7148.4397	11.5809	2.5465	3.4031	0.5451	15.5916	2.9326	3.0319	3.9486	4.0047	0.4041	0.3836	0.001
7	8268.9613	11.1399	2.4944	3.3376	0.5624	16.1085	2.9403	3.0405	4.0135	4.0574	0.3843	0.3672	0.001
8	9195.0106	10.9857	2.4669	3.3145	0.5685	15.4583	2.9395	2.9812	3.9317	3.942	0.4092	0.4027	0.001
9	10303.5728	10.5472	2.4222	3.2476	0.5857	14.9367	2.8945	2.9828	3.8648	3.9396	0.4291	0.4034	0.001
10	11288.0893	10.3141	2.3912	3.2116	0.5948	14.6223	2.8529	2.9105	3.8239	3.8763	0.4411	0.4225	0.001
11	12354.6406	10.4577	2.402	3.2338	0.5892	14.4482	2.8289	2.9233	3.8011	3.8803	0.4478	0.4213	0.001
12	13538.7357	9.9538	2.3478	3.155	0.609	14.9049	2.9098	2.9658	3.8607	3.9152	0.4303	0.4108	0.001
13	14556.7882	9.8516	2.3365	3.1387	0.613	14.0406	2.7794	2.8674	3.7471	3.8268	0.4633	0.4371	0.001
14	15749.9751	9.7312	2.3106	3.1195	0.6177	14.1931	2.7989	2.9193	3.7674	3.8956	0.4575	0.4167	0.001
15	16842.7997	9.6652	2.3086	3.1089	0.6203	13.9149	2.7524	2.8219	3.7303	3.7756	0.4681	0.4521	0.001
16	17803.7076	9.7384	2.305	3.1206	0.6175	13.9369	2.7564	2.8337	3.7332	3.805	0.4673	0.4435	0.001
17	18818.6863	9.3908	2.2662	3.0644	0.6311	13.5555	2.754	2.8581	3.6818	3.8192	0.4819	0.4394	0.001
18	19663.0734	9.5119	2.2791	3.0841	0.6263	13.7397	2.7279	2.805	3.7067	3.776	0.4748	0.452	0.001
19	20601.8209	9.1728	2.2355	3.0287	0.6397	13.6039	2.7329	2.8748	3.6883	3.8377	0.48	0.4339	0.001
20	21489.1359	9.2172	2.2315	3.036	0.6379	13.3478	2.6983	2.7959	3.6535	3.7709	0.4898	0.4535	0.001
21	22463.5878	9.3347	2.2498	3.0553	0.6333	13.3603	2.7062	2.812	3.6552	3.756	0.4893	0.4578	0.001
22	23550.0992	9.2069	2.2382	3.0343	0.6383	13.7542	2.7885	2.8845	3.7087	3.8268	0.4743	0.4371	0.001
23	24391.2482	9.1992	2.228	3.033	0.6386	13.6716	2.7756	2.9001	3.6975	3.8551	0.4774	0.4288	0.001
24	25854.4639	9.1749	2.2247	3.029	0.6396	13.4569	2.7226	2.7935	3.6684	3.759	0.4857	0.4569	0.001
25	26805.2112	9.0785	2.2169	3.0131	0.6434	13.2033	2.6985	2.841	3.6336	3.8087	0.4953	0.4424	0.001
26	27926.9866	9.1855	2.2186	3.0308	0.6392	13.2106	2.718	2.7995	3.6346	3.7345	0.4951	0.464	0.001
27	28885.3897	8.9608	2.1983	2.9935	0.648	13.5631	2.7174	2.7796	3.6828	3.7362	0.4816	0.4635	0.001
28	29704.8856	9.1208	2.2142	3.0201	0.6417	13.3286	2.7548	2.8452	3.6508	3.7694	0.4906	0.4539	0.001
29	31201.4463	9.0121	2.2073	3.002	0.646	13.4125	2.7566	2.8393	3.6623	3.7665	0.4873	0.4547	0.001
30	32293.6446	8.8806	2.1875	2.98	0.6511	13.0356	2.6443	2.7385	3.6105	3.6987	0.5018	0.4742	0.0009000000000000001
31	33208.6251	8.7498	2.1674	2.958	0.6563	12.9199	2.6516	2.7332	3.5944	3.6832	0.5062	0.4786	0.0009000000000000001
32	34237.9735	8.6869	2.1571	2.9474	0.6588	13.0913	2.693	2.7898	3.6182	3.7262	0.4996	0.4663	0.0009000000000000001
33	35173.3363	8.5802	2.1407	2.9292	0.6629	13.237	2.6586	2.734	3.6383	3.6924	0.4941	0.476	0.0009000000000000001
34	36489.8249	8.6025	2.1456	2.933	0.6621	13.1051	2.7016	2.7817	3.6201	3.7047	0.4991	0.4725	0.0009000000000000001
35	38017.7808	8.5661	2.1413	2.9268	0.6635	12.6054	2.6072	2.7003	3.5504	3.6551	0.5182	0.4865	0.0009000000000000001
36	39411.9897	8.5667	2.1425	2.9269	0.6635	12.7739	2.6379	2.7407	3.5741	3.6921	0.5118	0.4761	0.0009000000000000001
37	40959.4022	8.5047	2.1336	2.9163	0.6659	13.0197	2.6347	2.7143	3.6083	3.7083	0.5024	0.4714	0.0009000000000000001
38	42481.8087	8.505	2.1324	2.9163	0.6659	12.8019	2.642	2.7178	3.578	3.6982	0.5107	0.4743	0.0009000000000000001
39	43910.3995	8.5407	2.1275	2.9224	0.6645	13.2844	2.7109	2.7777	3.6448	3.7268	0.4922	0.4662	0.0009000000000000001
40	45250.4578	8.4643	2.117	2.9093	0.6675	12.9224	2.6529	2.7124	3.5948	3.6893	0.5061	0.4769	0.0009000000000000001
41	46722.9305	8.4722	2.1223	2.9107	0.6672	13.2162	2.7393	2.8289	3.6354	3.7568	0.4949	0.4575	0.0009000000000000001
