Reaction identifier	Your list:...006E2U	Equation	ChEBI identifier	Enzyme class	Enzymes
RHEA:22832	3.5.3.13	N-formimidoyl-L-glutamate + H2O = N-formyl-L-glutamate + NH4(+)	CHEBI:58928;CHEBI:15377;CHEBI:17684;CHEBI:28938	EC:3.5.3.13 formimidoylglutamate deiminase	1
RHEA:22856	2.3.1.150	(7S)-salutaridinol + acetyl-CoA = (7S)-O-acetylsalutaridinol + CoA	CHEBI:58463;CHEBI:57288;CHEBI:57672;CHEBI:57287	EC:2.3.1.150 salutaridinol 7-O-acetyltransferase	1
RHEA:22860	2.7.7.18	nicotinate beta-D-ribonucleotide + ATP + H(+) = deamido-NAD(+) + diphosphate	CHEBI:57502;CHEBI:30616;CHEBI:15378;CHEBI:58437;CHEBI:33019	EC:2.7.7.18 nicotinate-nucleotide adenylyltransferase	43825
RHEA:22864	5.1.1.5	L-lysine = D-lysine	CHEBI:32551;CHEBI:32557	EC:5.1.1.5 lysine racemase	586
RHEA:22876	3.5.1.86	(R)-mandelamide + H2O = (R)-mandelate + NH4(+)	CHEBI:17352;CHEBI:15377;CHEBI:32382;CHEBI:28938	EC:3.5.1.86 mandelamide amidase	1
RHEA:22880	2.6.1.79	L-arogenate + 2-oxoglutarate = prephenate + L-glutamate	CHEBI:58180;CHEBI:16810;CHEBI:29934;CHEBI:29985	EC:2.6.1.79 glutamate--prephenate aminotransferase	230
RHEA:22888	5.4.99.2	(R)-methylmalonyl-CoA = succinyl-CoA	CHEBI:57326;CHEBI:57292	EC:5.4.99.2 methylmalonyl-CoA mutase	3628
RHEA:22892	1.5.1.15	(6R)-5,10-methylene-5,6,7,8-tetrahydrofolate + NAD(+) = (6R)-5,10-methenyltetrahydrofolate + NADH	CHEBI:15636;CHEBI:57540;CHEBI:57455;CHEBI:57945	EC:1.5.1.15 methylenetetrahydrofolate dehydrogenase (NAD(+))	12
RHEA:22908	3.5.4.46	3',5'-cyclic AMP + H2O + H(+) = 3',5'-cyclic IMP + NH4(+)	CHEBI:58165;CHEBI:15377;CHEBI:15378;CHEBI:134197;CHEBI:28938	EC:3.5.4.46 cAMP deaminase	1
RHEA:22916	1.14.13.84	4'-hydroxyacetophenone + NADPH + O2 + H(+) = 4-acetoxyphenol + NADP(+) + H2O	CHEBI:28032;CHEBI:57783;CHEBI:15379;CHEBI:15378;CHEBI:31128;CHEBI:58349;CHEBI:15377	EC:1.14.13.84 4-hydroxyacetophenone monooxygenase	1
RHEA:22924	3.5.4.12	dCMP + H2O + H(+) = dUMP + NH4(+)	CHEBI:57566;CHEBI:15377;CHEBI:15378;CHEBI:246422;CHEBI:28938	EC:3.5.4.12 dCMP deaminase	11
RHEA:22932	2.4.1.38	an N-acetyl-beta-D-glucosaminyl derivative + UDP-alpha-D-galactose = a beta-D-galactosyl-(1->4)-N-acetyl-beta-D-glucosaminyl derivative + UDP + H(+)	CHEBI:61631;CHEBI:66914;CHEBI:133507;CHEBI:58223;CHEBI:15378	EC:2.4.1.38 beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase	601
RHEA:22936	3.5.1.25	N-acetyl-D-glucosamine 6-phosphate + H2O = D-glucosamine 6-phosphate + acetate	CHEBI:57513;CHEBI:15377;CHEBI:58725;CHEBI:30089	EC:3.5.1.25 N-acetylglucosamine-6-phosphate deacetylase	11704
RHEA:22940	2.7.3.3	L-arginine + ATP = N(omega)-phospho-L-arginine + ADP + H(+)	CHEBI:32682;CHEBI:30616;CHEBI:58477;CHEBI:456216;CHEBI:15378	EC:2.7.3.3 arginine kinase	362
RHEA:22948	4.1.2.40	D-tagatofuranose 1,6-bisphosphate = D-glyceraldehyde 3-phosphate + dihydroxyacetone phosphate	CHEBI:58694;CHEBI:59776;CHEBI:57642	EC:4.1.2.40 tagatose-bisphosphate aldolase	3069
RHEA:22960	1.14.14.88	formononetin + reduced [NADPH--hemoprotein reductase] + O2 = calycosin + oxidized [NADPH--hemoprotein reductase] + H2O + H(+)	CHEBI:77688;CHEBI:57618;CHEBI:15379;CHEBI:77992;CHEBI:58210;CHEBI:15377;CHEBI:15378	EC:1.14.14.88 isoflavone 3'-hydroxylase	1
RHEA:22964	4.1.1.17	L-ornithine + H(+) = putrescine + CO2	CHEBI:46911;CHEBI:15378;CHEBI:326268;CHEBI:16526	EC:4.1.1.17 ornithine decarboxylase	12189
RHEA:22996	1.11.1.11	L-ascorbate + H2O2 = L-dehydroascorbate + 2 H2O	CHEBI:38290;CHEBI:16240;CHEBI:58539;CHEBI:15377	EC:1.11.1.11 L-ascorbate peroxidase	1763
RHEA:23008	3.2.1.93	alpha,alpha-trehalose 6-phosphate + H2O = D-glucose 6-phosphate + D-glucose	CHEBI:58429;CHEBI:15377;CHEBI:61548;CHEBI:4167	EC:3.2.1.93 alpha,alpha-phosphotrehalase	2
RHEA:23012	2.1.1.15	a fatty acid + S-adenosyl-L-methionine = a fatty acid methyl ester + S-adenosyl-L-homocysteine	CHEBI:28868;CHEBI:59789;CHEBI:4986;CHEBI:57856	EC:2.1.1.15 fatty-acid O-methyltransferase	1
RHEA:23016	1.1.1.219	(2R,3S,4S)-3,4-leucopelargonidin + NADP(+) = (2R,3R)-dihydrokaempferol + NADPH + H(+)	CHEBI:17343;CHEBI:58349;CHEBI:15401;CHEBI:57783;CHEBI:15378	EC:1.1.1.219 dihydroflavanol 4-reductase	0
