Organism,Consensus optimal temperature,ARS,ATCC,BCCM,BCRC,CABRI,CCM,CCUG,CECT,CICC,DSMZ,HAMBI,JCM,KEMB,NBIMCC,NBRC,NCIMB,NCMA,NCTC,NIES,VKM,CIP
Abditibacterium utsteinense,17,,,15,,,,,,,20,,,,,,,,,,,
Abiotropha balaenopterae,37,,,,,37,,,,,,,,,,,,,,,,
Abiotrophia adiacens,37,,,,,,,,,,,,,,,,,,37,,,
Abiotrophia defectiva,37,,37,37,,37,37,37,,,37,,,,,,,,,,,37
Abiotrophia elegans,37,,,,,,,37,,,,,,,,,,,,,,
Absicoccus porci,37,,,,,,,,,,,,37,37,,,,,,,,
Absidia anomala,24,24,,,,,,,,,,,,,,,,,,,,
Absidia blakesleeana,24,24,,,,,,,,,,,,,,,,,,,,
Absidia californica,24,24,,,,,,,,,,,,,,,,,,,,
Absidia coerulea,24,24,,,,,,,,28,24,,24,,,,,,,,,
Absidia corymbifera,29,24,,,,,,,,28,30,,35,,,,,,,,,
Absidia cuneospora,24,24,,,,,,,,,,,,,,,,,,,,
Absidia cylindrospora,24,,,,,,,,,,,,24,,,,,,,,,
Absidia fusca,24,24,,,,,,,,,,,,,,,,,,,,
Absidia glauca,24,,,,,,,,,,24,,24,,,,,,,,,
Absidia hyalospora,37,37,,,,,,,,,,,,,,,,,,,,
Absidia lichtheimi,29,,,,,,,,,29,,,,,,,,,,,,
Absidia lichtheimii,24,24,,,,,,,,,,,,,,,,,,,,
Absidia pseudocylindrospora,24,24,,,,,,,,,24,,,,,,,,,,,
Absidia ramosa,28,27,,,,,,,,29,,,,,,,,,,,,
Absidia repens,24,24,,,,,,,,,24,,,,,,,,,,,
Absidia spinosa,24,24,,,,,,,,,27,,24,,,,,,,,,
Abyssibacter profundi,37,,,,,,,,,,,,37,37,,,,,,,,
Abyssicoccus albus,28,,,,,,,,,,28,,28,,,,,,,,,
Abyssisolibacter fermentans,30,,,,,,,,,,,,30,30,,,,,,,,
Abyssivirga alkaniphila,37,,,,,,,,,,37,,37,,,,,,,,,
Acanthopleuribacter pedis,25,,,,,,,,,,25,,,25,,26,,,,,,
Acaricomes phytoseiuli,25,,,,,25,,30,,,25,,25,,,25,,,,,,25
Acaryochloris marina,25,,,,,,,,,,,,,,,,,,,25,,
Acaryochloris tomasi,20,,,,,,,,,,,,,,,,,,,20,,
Acaulium acremonium,22,,,,,,,,,,22,,,,,,,,,,,
Acerihabitans arboris,30,,,,,,,,,,,,,30,,,,,,,,
Acetatifactor muris,37,,,,,,,,,,37,,,,,,,,,,,
Acetic Acid,30,,,,,,,30,,,,,,,,,,,,,,
Acetilactobacillus jinshanensis,37,,,37,,,,,,,,,37,,,,,,,,,
Acetitomaculum ruminis,37,,37,,,37,,,,,37,,,,,,,,,,,
Acetivibrio aldrichii,35,,,,,,,,,,35,,,,,,,,,,,
Acetivibrio alkalicellulosi,35,,,,,,,,,,35,,,,,,,,,,,
Acetivibrio cellulolyticus,37,,37,,,37,,,,,37,,,,,,,,,,,
Acetivibrio clariflavus,55,,,,,,,,,,55,,,,,,,,,,,
