smitrans_esm1b_KKM: {1: 0.7046123862682279, 2: 0.7133658626241062, 3: 0.7873983758137445, 4: 0.9050594216439797, 5: None, 6: 0.9093666470561709}
smitrans_esm2_KKM: {1: 0.715620463188104, 2: 0.7156142218263282, 3: 0.7921557861697879, 4: 0.9273134903715414, 5: None, 6: 0.915270332463232}
smitrans_esmc_KKM: {1: 0.7260310993071488, 2: 0.7180875056535859, 3: 0.7898173760857456, 4: 0.9554696394276722, 5: None, 6: 0.8850685465970637}
smitrans_prott5_KKM: {1: 0.7135582293829859, 2: 0.7450903137660807, 3: 0.7841718468660215, 4: 0.9495008227065815, 5: None, 6: 0.8766301586048721}
smitrans_prollama_KKM: {1: 0.6640326756676973, 2: 0.7360442613338087, 3: 0.7803313825357684, 4: 0.7068320056781505, 5: None, 6: 0.8413105775870962}
molgen_esm1b_KKM: {1: 0.7065245584840951, 2: 0.7142444790234742, 3: 0.7912728684524795, 4: 0.9212864665514097, 5: None, 6: 0.8901540582693802}
molgen_esm2_KKM: {1: 0.7081930853164763, 2: 0.7245317852523853, 3: 0.7704133458492796, 4: 0.9389490973985769, 5: None, 6: 0.9259453467222709}
molgen_esmc_KKM: {1: 0.7158069565615984, 2: 0.7296691840188603, 3: 0.7898916695186669, 4: 0.9399752717303178, 5: None, 6: 0.90793775770202}
molgen_prott5_KKM: {1: 0.7130348416497181, 2: 0.7449777003121453, 3: 0.80925620112308, 4: 0.9446426841409367, 5: None, 6: 0.8821188026721137}
molgen_prollama_KKM: {1: 0.659363451463008, 2: 0.7376197529806063, 3: 0.7736996536668264, 4: 0.7152269834247732, 5: None, 6: 0.8800624285486881}
molebert_esm1b_KKM: {1: 0.697593548099591, 2: 0.7191445241750204, 3: 0.7811674074720046, 4: 0.9132112288650431, 5: None, 6: 0.914680149145328}
molebert_esm2_KKM: {1: 0.7072296999888628, 2: 0.7125156478054362, 3: 0.7956836364710136, 4: 0.9121528164912952, 5: None, 6: 0.9236214347060354}
molebert_esmc_KKM: {1: 0.7209333041795564, 2: 0.7177463450154745, 3: 0.7930496374734531, 4: 0.9434686886595461, 5: None, 6: 0.9325858060057024}
molebert_prott5_KKM: {1: 0.7124549025090041, 2: 0.7525163076739899, 3: 0.7924499014019424, 4: 0.9520512121738631, 5: None, 6: 0.9239541647671407}
molebert_prollama_KKM: {1: 0.654153967353271, 2: 0.7299430638013613, 3: 0.7918952932053358, 4: 0.6075193649947879, 5: None, 6: 0.8580534798802728}
unimolv1_esm1b_KKM: {1: 0.6974070086263104, 2: 0.725184709827515, 3: 0.796383485651206, 4: 0.9298496099985948, 5: None, 6: 0.8896605118546024}
unimolv1_esm2_KKM: {1: 0.7097639226192908, 2: 0.7450601962474832, 3: 0.8058117816696577, 4: 0.9088568432161406, 5: None, 6: 0.9199293122192571}
unimolv1_esmc_KKM: {1: 0.7233363194161039, 2: 0.7317300030245577, 3: 0.80486002585251, 4: 0.9396377471589232, 5: None, 6: 0.9034549579145957}
unimolv1_prott5_KKM: {1: 0.7185364168438393, 2: 0.7707492280375143, 3: 0.8028563557086027, 4: 0.9545599817593883, 5: None, 6: 0.871723443234211}
unimolv1_prollama_KKM: {1: 0.657472338740521, 2: 0.7685797711826468, 3: 0.817045622758046, 4: 0.7147115801550576, 5: None, 6: 0.868375559574861}
unimolv2_esm1b_KKM: {1: 0.7051415714691995, 2: 0.7072873581611532, 3: 0.789293021310929, 4: 0.9115353071385598, 5: None, 6: 0.9432762054827835}
unimolv2_esm2_KKM: {1: 0.7132137348905621, 2: 0.7068683212933766, 3: 0.7754859110246533, 4: 0.9373944054834206, 5: None, 6: 0.9345144119912816}
unimolv2_esmc_KKM: {1: 0.7185774016455049, 2: 0.7184201732299587, 3: 0.7968330426702275, 4: 0.9471747840712548, 5: None, 6: 0.9192216670468811}
unimolv2_prott5_KKM: {1: 0.7153092928736371, 2: 0.7442805795813237, 3: 0.7816604305301278, 4: 0.9494950982562844, 5: None, 6: 0.9104548721959426}
unimolv2_prollama_KKM: {1: 0.6669381675829505, 2: 0.7415475770098074, 3: 0.7665562153642242, 4: 0.7142335425678459, 5: None, 6: 0.8756121689681031}
chemberta2_esm1b_KKM: {1: 0.7017144909046991, 2: 0.7290640668395096, 3: 0.7971049532580698, 4: 0.9220045499800785, 5: None, 6: 0.895247618328333}
chemberta2_esm2_KKM: {1: 0.7136638334232456, 2: 0.719730881494798, 3: 0.8041353319819392, 4: 0.9235939351331902, 5: None, 6: 0.9184939235590883}
chemberta2_esmc_KKM: {1: 0.7217910123506103, 2: 0.7223278912094298, 3: 0.8110032072589717, 4: 0.9444572395092864, 5: None, 6: 0.9111406898101}
chemberta2_prott5_KKM: {1: 0.7144145761695191, 2: 0.7539765266935576, 3: 0.7940224399724864, 4: 0.9469765259182148, 5: None, 6: 0.9023461551433765}
chemberta2_prollama_KKM: {1: 0.6607701160698343, 2: 0.7362619816477591, 3: 0.7873907143242063, 4: 0.6355911533535077, 5: None, 6: 0.8751237689201801}
ecfp_esm1b_KKM: {1: 0.6968799004157713, 2: 0.663471830346395, 3: 0.7799741957118637, 4: 0.91614105469731, 5: None, 6: 0.9138594622275878}
ecfp_esm2_KKM: {1: 0.7006905740932587, 2: 0.6699431449764726, 3: 0.8002031595671529, 4: 0.9265355217327265, 5: None, 6: 0.9227978131299758}
ecfp_esmc_KKM: {1: 0.7078268296045516, 2: 0.6651008216547455, 3: 0.7895602011287762, 4: 0.9506159660015704, 5: None, 6: 0.9421621423230909}
ecfp_prott5_KKM: {1: 0.7034002391489327, 2: 0.6986675709500059, 3: 0.7761022105117719, 4: 0.9509650846368203, 5: None, 6: 0.9394817955687753}
ecfp_prollama_KKM: {1: 0.6429938305589465, 2: 0.6704566774223932, 3: 0.8080369052186378, 4: 0.6690391633340188, 5: None, 6: 0.8267005467898277}
rdkitfp_esm1b_KKM: {1: 0.6865710629297657, 2: 0.6818322806584621, 3: 0.8074341386055897, 4: 0.922942359135226, 5: None, 6: 0.9362246323123242}
rdkitfp_esm2_KKM: {1: 0.6989055392937287, 2: 0.682175287131128, 3: 0.8209865464263559, 4: 0.9359115083781657, 5: None, 6: 0.9187624303675462}
rdkitfp_esmc_KKM: {1: 0.7089589515593291, 2: 0.7125317849272631, 3: 0.8208927677689958, 4: 0.9424959436422387, 5: None, 6: 0.9354639611415115}
rdkitfp_prott5_KKM: {1: 0.705347891507986, 2: 0.7075307030393866, 3: 0.8032804556391113, 4: 0.9464448923619821, 5: None, 6: 0.8837383969396692}
rdkitfp_prollama_KKM: {1: 0.6439547576440615, 2: 0.6972411927104607, 3: 0.8232907320241485, 4: 0.6623149647890478, 5: None, 6: 0.8713338251844068}
maccskeys_esm1b_KKM: {1: 0.6748075418789747, 2: 0.7312490018751232, 3: 0.7548704725329229, 4: 0.9248786912349327, 5: None, 6: 0.9091653255062331}
maccskeys_esm2_KKM: {1: 0.6840628355679736, 2: 0.7489569561186236, 3: 0.7876486495545681, 4: 0.9263496484663325, 5: None, 6: 0.9022121195764321}
maccskeys_esmc_KKM: {1: 0.6877004991294896, 2: 0.7439829976612315, 3: 0.7901428855533219, 4: 0.9354109926606043, 5: None, 6: 0.9321779580942213}
maccskeys_prott5_KKM: {1: 0.6859260051883975, 2: 0.7853927472915242, 3: 0.7813520007490214, 4: 0.9459640161918397, 5: None, 6: 0.8695708280882113}
maccskeys_prollama_KKM: {1: 0.6319719817704235, 2: 0.7505419591021633, 3: 0.7700695260221946, 4: 0.6812330325825635, 5: None, 6: 0.8203805243790738}
