rmse_train,r2_train,mae_train,rmse_test,r2_test,mae_test,rmse_dev,r2_dev,mae_dev,Epoch
2.951287,-536.451357,0.235484,0.196613,-1.339556,0.129661,0.168807,-0.744707,0.127039,1
0.13246,-0.082638,0.090516,0.130225,-0.026354,0.091097,0.168793,-0.744409,0.092677,2
0.109937,0.254225,0.074314,0.101995,0.370398,0.071394,0.165213,-0.671195,0.074097,3
0.099373,0.390669,0.065798,0.081822,0.594818,0.062487,0.103679,0.341847,0.064628,4
0.077427,0.630085,0.056918,0.087301,0.53874,0.068341,0.088245,0.523217,0.068218,5
0.065701,0.733642,0.050783,0.086322,0.549025,0.067782,0.085453,0.552912,0.067333,6
0.06012,0.776975,0.046709,0.087944,0.53192,0.069403,0.086479,0.542108,0.068619,7
0.055579,0.809394,0.04335,0.084204,0.570887,0.065859,0.083041,0.577789,0.065312,8
0.051844,0.834149,0.040438,0.078916,0.623092,0.060455,0.078197,0.625609,0.060551,9
0.04927,0.850213,0.038407,0.0768,0.643029,0.058149,0.079145,0.616482,0.059401,10
0.049056,0.85151,0.038141,0.072705,0.680081,0.054727,0.072828,0.675263,0.055292,11
0.040575,0.898414,0.031738,0.072241,0.684158,0.054201,0.072399,0.679072,0.054779,12
0.035998,0.920041,0.028109,0.071951,0.686687,0.053729,0.072304,0.679918,0.054431,13
0.032399,0.935229,0.02526,0.071675,0.689087,0.053254,0.072207,0.680771,0.054058,14
0.029412,0.946622,0.02291,0.071649,0.689312,0.052964,0.072431,0.678792,0.054034,15
0.026899,0.955353,0.02094,0.07194,0.686776,0.053013,0.072843,0.675121,0.054206,16
0.02477,0.962141,0.01925,0.072571,0.68126,0.053495,0.0736,0.668333,0.054673,17
0.02302,0.967302,0.017861,0.073339,0.67448,0.054153,0.074471,0.660439,0.055237,18
0.021543,0.971362,0.016657,0.074279,0.666077,0.055017,0.075499,0.650998,0.056003,19
0.02028,0.974623,0.015644,0.075152,0.658189,0.055797,0.076423,0.642405,0.05679,20
0.021859,0.970517,0.017244,0.075135,0.658338,0.055655,0.076428,0.642364,0.056754,21
0.019815,0.975773,0.015589,0.074169,0.667074,0.054581,0.0754,0.651915,0.055683,22
0.018419,0.979066,0.014442,0.073545,0.672644,0.053887,0.074763,0.657774,0.055008,23
0.017323,0.981484,0.01354,0.073034,0.677184,0.053319,0.07424,0.662543,0.054469,24
