rmse_train,r2_train,mae_train,rmse_test,r2_test,mae_test,rmse_dev,r2_dev,mae_dev,Epoch
0.423809,-5.093051,0.139155,0.125022,0.405566,0.096773,0.114028,0.569136,0.088359,1
0.146916,0.267791,0.103522,0.120201,0.450526,0.091802,0.108007,0.613435,0.083424,2
0.112362,0.571712,0.085042,0.117134,0.478206,0.08838,0.10733,0.618268,0.082127,3
0.094875,0.694652,0.07241,0.114841,0.498433,0.086423,0.104754,0.63637,0.080269,4
0.082294,0.770262,0.062626,0.117118,0.478352,0.089389,0.105895,0.628404,0.081023,5
0.07178,0.825217,0.054418,0.120732,0.445662,0.092559,0.107951,0.613836,0.083594,6
0.062364,0.868065,0.046597,0.122743,0.427041,0.093913,0.109333,0.603883,0.085456,7
0.054499,0.899243,0.039949,0.126738,0.389135,0.098492,0.113718,0.571478,0.088683,8
0.047226,0.924343,0.033973,0.127888,0.378004,0.099315,0.114729,0.56382,0.08861,9
0.042204,0.939578,0.03005,0.12433,0.41213,0.094954,0.110898,0.592467,0.083542,10
0.040425,0.944565,0.030154,0.115516,0.492523,0.085339,0.098489,0.678565,0.070819,11
0.034738,0.959065,0.024989,0.115613,0.491673,0.085081,0.098867,0.67609,0.070399,12
0.031314,0.966737,0.021737,0.115428,0.493295,0.084706,0.098641,0.677575,0.069754,13
0.028696,0.972067,0.01931,0.115114,0.496052,0.084196,0.098433,0.678927,0.069332,14
0.026533,0.976119,0.017306,0.114773,0.499032,0.083676,0.098062,0.681343,0.06909,15
0.024629,0.979423,0.015581,0.114478,0.5016,0.083317,0.097779,0.68318,0.068863,16
0.023071,0.981944,0.0142,0.113959,0.506108,0.082867,0.097521,0.684851,0.068663,17
0.021642,0.984112,0.01296,0.113577,0.50942,0.082498,0.097342,0.686005,0.068622,18
0.020416,0.98586,0.011903,0.113114,0.513406,0.082196,0.097077,0.687713,0.06857,19
0.019211,0.98748,0.010958,0.112602,0.517806,0.081846,0.096929,0.688668,0.068673,20
0.019046,0.987695,0.012381,0.111285,0.529014,0.081212,0.096879,0.688986,0.06879,21
0.017467,0.98965,0.010996,0.111272,0.52913,0.081223,0.096882,0.688966,0.068759,22
0.016433,0.99084,0.009965,0.111244,0.529361,0.081219,0.096941,0.688593,0.068765,23
0.015644,0.991698,0.00916,0.111203,0.529712,0.081166,0.096984,0.688314,0.068723,24
0.014976,0.992392,0.008473,0.11113,0.530329,0.081061,0.097001,0.688204,0.068673,25
0.014404,0.992962,0.007874,0.111071,0.530829,0.080959,0.097006,0.688175,0.068603,26
0.01392,0.993427,0.007334,0.11094,0.531934,0.080834,0.096972,0.688392,0.068513,27
0.013486,0.993831,0.006846,0.110826,0.532899,0.08073,0.096906,0.688814,0.068408,28
0.013119,0.994161,0.006423,0.110727,0.533731,0.080651,0.096848,0.689186,0.06831,29
0.012791,0.99445,0.006038,0.110581,0.534957,0.08053,0.096758,0.689764,0.068156,30
