rmse_train,r2_train,mae_train,rmse_test,r2_test,mae_test,rmse_dev,r2_dev,mae_dev,Epoch
3.534774,-769.533996,0.290142,0.136711,-0.140713,0.101334,0.136852,-0.126267,0.102418,1
0.168019,-0.740949,0.117725,0.13832,-0.16771,0.112023,0.140893,-0.193762,0.112447,2
0.10747,0.287729,0.082292,0.116813,0.167189,0.093438,0.117218,0.17372,0.092353,3
0.089547,0.505493,0.070177,0.112431,0.228498,0.089848,0.112342,0.241033,0.088593,4
0.080413,0.601235,0.063135,0.103657,0.344206,0.081944,0.103512,0.355646,0.081152,5
0.075007,0.653044,0.058801,0.09525,0.44627,0.07417,0.095402,0.452666,0.073908,6
0.070864,0.690314,0.055795,0.090153,0.503946,0.069772,0.090536,0.507073,0.069478,7
0.067554,0.718568,0.053344,0.089728,0.508614,0.069276,0.090404,0.508506,0.069252,8
0.064776,0.741242,0.051143,0.09194,0.484087,0.070788,0.092873,0.481293,0.070648,9
0.062821,0.756627,0.04962,0.10822,0.285208,0.085345,0.109764,0.275458,0.086299,10
0.063518,0.751193,0.050279,0.095512,0.443221,0.074219,0.095874,0.447231,0.073861,11
0.052046,0.832952,0.041265,0.089231,0.514043,0.068415,0.089408,0.519277,0.06799,12
0.045875,0.870217,0.036267,0.086668,0.541553,0.065961,0.08688,0.546077,0.065764,13
0.041445,0.89407,0.032678,0.085074,0.558265,0.0644,0.085424,0.56117,0.064373,14
0.037958,0.911147,0.029829,0.084037,0.568971,0.063396,0.084543,0.57017,0.063542,15
0.035091,0.924063,0.027458,0.083301,0.576488,0.062651,0.083939,0.576289,0.062958,16
0.032667,0.934189,0.025435,0.082803,0.58153,0.06215,0.083562,0.580084,0.062586,17
0.030602,0.942246,0.023744,0.082445,0.585146,0.061835,0.083284,0.582876,0.062305,18
0.028813,0.948803,0.02231,0.082265,0.586951,0.061659,0.083094,0.584777,0.062128,19
0.027264,0.95416,0.021054,0.082168,0.587931,0.061575,0.082992,0.585802,0.062085,20
0.028904,0.948477,0.022647,0.081616,0.593443,0.060959,0.082165,0.594016,0.061325,21
0.026743,0.955894,0.020914,0.081454,0.595062,0.06068,0.081921,0.596422,0.061044,22
0.025202,0.960832,0.019657,0.08135,0.59609,0.060506,0.081771,0.597894,0.060859,23
0.02395,0.964625,0.018635,0.081266,0.596925,0.060358,0.081656,0.599028,0.060713,24
0.022878,0.967721,0.017757,0.081182,0.597756,0.060228,0.081567,0.5999,0.060591,25
0.02193,0.970341,0.016974,0.081114,0.598435,0.060115,0.081488,0.600669,0.060478,26
0.021087,0.972579,0.016279,0.081053,0.599032,0.060013,0.081431,0.601236,0.060391,27
0.020321,0.974534,0.015643,0.081007,0.599495,0.059924,0.081386,0.601671,0.060314,28
0.019622,0.976257,0.015063,0.080962,0.599935,0.059851,0.081346,0.602067,0.060257,29
0.018978,0.97779,0.014527,0.08093,0.600256,0.059789,0.081311,0.602406,0.06021,30
