rmse_train,r2_train,mae_train,rmse_test,r2_test,mae_test,rmse_dev,r2_dev,mae_dev,Epoch
0.662211,-13.550229,0.182498,0.169554,-0.142401,0.109813,0.134215,0.368463,0.104934,1
0.154319,0.209837,0.112536,0.126076,0.368365,0.095352,0.122855,0.470852,0.094,2
0.116699,0.548132,0.091303,0.12347,0.394202,0.092879,0.116589,0.523452,0.089631,3
0.104481,0.637794,0.080507,0.119541,0.432142,0.089848,0.110456,0.572264,0.084152,4
0.095286,0.698742,0.072667,0.116726,0.458576,0.087897,0.106506,0.60231,0.080807,5
0.087378,0.746672,0.06613,0.114831,0.476008,0.086224,0.103452,0.62479,0.078374,6
0.079712,0.789174,0.059989,0.114318,0.480683,0.085906,0.101483,0.638936,0.076798,7
0.072744,0.82442,0.054396,0.114833,0.47599,0.085811,0.100708,0.644435,0.076487,8
0.065874,0.85602,0.048874,0.116538,0.460313,0.086579,0.099915,0.65001,0.076157,9
0.058995,0.884519,0.04334,0.118119,0.445569,0.087325,0.099892,0.65017,0.076148,10
0.05062,0.914981,0.037992,0.117661,0.449861,0.087641,0.098499,0.659862,0.07338,11
0.044438,0.934477,0.032876,0.118233,0.444499,0.08781,0.098412,0.66046,0.073202,12
0.039498,0.948235,0.028649,0.118968,0.437573,0.088278,0.098819,0.657643,0.073399,13
0.035236,0.958804,0.024955,0.119431,0.43319,0.088635,0.099334,0.654067,0.073376,14
0.031772,0.966506,0.021829,0.119818,0.429506,0.089064,0.09969,0.651587,0.073531,15
0.028962,0.972168,0.019324,0.119911,0.428621,0.089164,0.100114,0.648611,0.0737,16
0.026562,0.97659,0.017196,0.119708,0.43056,0.089168,0.100369,0.646822,0.073926,17
0.024649,0.979841,0.0155,0.119536,0.432195,0.089029,0.100427,0.646411,0.073923,18
0.022836,0.982697,0.013993,0.119514,0.432397,0.089059,0.100557,0.645499,0.073981,19
0.021452,0.98473,0.01275,0.119641,0.431189,0.089141,0.100287,0.647397,0.073857,20
0.020099,0.986597,0.012898,0.11979,0.429777,0.089154,0.09885,0.657432,0.072538,21
0.018719,0.988373,0.01165,0.119836,0.42934,0.089231,0.098712,0.658389,0.072242,22
