rmse_train,r2_train,mae_train,rmse_test,r2_test,mae_test,rmse_dev,r2_dev,mae_dev,Epoch
0.645548,-24.576771,0.10301,0.093822,0.47435,0.073051,0.090929,0.448897,0.070874,1
0.074469,0.659639,0.056858,0.088429,0.533051,0.069161,0.086501,0.501264,0.068237,2
0.060452,0.775713,0.045055,0.077872,0.637886,0.057913,0.073619,0.63875,0.056367,3
0.050359,0.844354,0.036958,0.066664,0.734623,0.049761,0.065346,0.715376,0.049192,4
0.038447,0.909279,0.028792,0.062121,0.769561,0.045753,0.061388,0.748815,0.045455,5
0.03119,0.940295,0.023048,0.061825,0.77175,0.045124,0.061358,0.749056,0.045024,6
0.025086,0.961377,0.018562,0.060695,0.780018,0.043682,0.059791,0.761713,0.043143,7
0.02081,0.973423,0.015256,0.060182,0.783722,0.042905,0.059514,0.763911,0.042597,8
0.017881,0.980377,0.013054,0.058907,0.792785,0.041334,0.058062,0.775291,0.040951,9
0.015899,0.984485,0.011287,0.058643,0.794637,0.040821,0.05745,0.780006,0.040194,10
0.014146,0.987718,0.010477,0.058094,0.798469,0.039932,0.057007,0.783383,0.039543,11
0.010386,0.993379,0.007901,0.058031,0.798902,0.039623,0.056936,0.783923,0.039289,12
0.008721,0.995332,0.006523,0.057861,0.800079,0.039282,0.056724,0.785532,0.038957,13
0.007589,0.996465,0.005563,0.057706,0.801152,0.039015,0.056534,0.786968,0.038684,14
0.006782,0.997177,0.004853,0.057575,0.80205,0.038834,0.056368,0.788218,0.03847,15
0.006162,0.99767,0.004294,0.057494,0.80261,0.038735,0.056263,0.789005,0.038352,16
0.005673,0.998025,0.00385,0.057439,0.802984,0.038685,0.056182,0.789613,0.03828,17
0.005278,0.998291,0.003484,0.057405,0.803217,0.038654,0.056145,0.789886,0.038254,18
0.004953,0.998495,0.003181,0.057379,0.803396,0.038629,0.056117,0.7901,0.038232,19
0.004682,0.998655,0.002926,0.057364,0.803498,0.038613,0.056095,0.790263,0.038213,20
0.004647,0.998675,0.003179,0.057283,0.804054,0.038505,0.056055,0.790558,0.038143,21
0.004369,0.998828,0.002945,0.057268,0.804155,0.03844,0.056046,0.79063,0.038099,22
0.004167,0.998934,0.002758,0.057256,0.80424,0.038381,0.056039,0.790677,0.038059,23
0.004002,0.999017,0.002598,0.057247,0.804302,0.038329,0.056036,0.790706,0.038023,24
0.003861,0.999085,0.002459,0.057238,0.804364,0.038279,0.056035,0.790709,0.037992,25
0.003738,0.999142,0.002334,0.057231,0.804413,0.038234,0.056034,0.790716,0.037963,26
0.00363,0.999191,0.002224,0.057225,0.804451,0.038191,0.056035,0.790709,0.037935,27
0.003532,0.999234,0.002124,0.057221,0.804481,0.038153,0.056038,0.790688,0.03791,28
0.003444,0.999272,0.002034,0.057217,0.804504,0.038117,0.056042,0.790656,0.037888,29
0.003365,0.999305,0.001951,0.057215,0.804522,0.038084,0.056046,0.790625,0.037867,30
