rmse_train,r2_train,mae_train,rmse_test,r2_test,mae_test,rmse_dev,r2_dev,mae_dev,Epoch
0.22567,-0.638734,0.119456,0.132465,0.21497,0.098478,0.131834,0.389012,0.096353,1
0.113931,0.582316,0.088177,0.122613,0.327398,0.090496,0.124078,0.458791,0.089795,2
0.100096,0.677599,0.07727,0.117595,0.381323,0.088317,0.113149,0.549934,0.081834,3
0.088161,0.749898,0.067696,0.115721,0.400881,0.086341,0.111513,0.562852,0.080086,4
0.074131,0.823169,0.056625,0.115685,0.401255,0.085601,0.113083,0.550454,0.081531,5
0.06293,0.872569,0.047306,0.116288,0.394998,0.085789,0.112096,0.558271,0.081509,6
0.054578,0.904148,0.040521,0.113678,0.421855,0.083374,0.109667,0.577207,0.080488,7
0.048824,0.923294,0.035409,0.111379,0.444996,0.081056,0.108324,0.587494,0.079655,8
0.043309,0.939643,0.031273,0.110351,0.455199,0.082048,0.109618,0.577585,0.082327,9
0.039622,0.949483,0.028513,0.108859,0.469832,0.080826,0.106522,0.601104,0.079059,10
0.03894,0.951206,0.029328,0.109701,0.461592,0.081219,0.103133,0.626083,0.075556,11
0.03224,0.966553,0.023138,0.108902,0.469415,0.080061,0.103494,0.623462,0.07492,12
0.028423,0.974004,0.019279,0.108611,0.472242,0.079724,0.103429,0.623935,0.074773,13
0.025931,0.978363,0.016717,0.108508,0.473243,0.079924,0.103393,0.6242,0.074591,14
0.023923,0.981585,0.014673,0.108534,0.47299,0.080141,0.103111,0.626245,0.07419,15
0.02228,0.984026,0.013176,0.108493,0.473389,0.080255,0.102812,0.628406,0.073741,16
0.02089,0.985958,0.01198,0.108412,0.474179,0.080252,0.10241,0.631305,0.073147,17
0.019647,0.987579,0.01095,0.108339,0.474883,0.080239,0.102053,0.633874,0.072529,18
0.018638,0.988822,0.010072,0.10821,0.476134,0.080086,0.102007,0.634203,0.072126,19
0.017746,0.989866,0.00937,0.108196,0.476266,0.080052,0.101912,0.634882,0.071836,20
0.017616,0.990015,0.010797,0.108373,0.474551,0.080176,0.10268,0.629362,0.07197,21
0.016328,0.991421,0.009589,0.108253,0.475718,0.080109,0.102799,0.628503,0.072184,22
0.015498,0.992271,0.008738,0.108217,0.476067,0.080103,0.102955,0.627375,0.072341,23
0.014841,0.992912,0.008075,0.1082,0.476233,0.080103,0.10308,0.626466,0.072442,24
0.014282,0.993437,0.007527,0.1082,0.47623,0.080095,0.103202,0.625581,0.072524,25
0.01379,0.993881,0.007048,0.108243,0.475809,0.080117,0.103299,0.624882,0.072583,26
0.013329,0.994284,0.006613,0.108234,0.475904,0.080106,0.103365,0.624402,0.072616,27
0.012909,0.994638,0.006216,0.108236,0.475883,0.080091,0.103407,0.624093,0.072626,28
0.012532,0.994946,0.005856,0.108269,0.475559,0.080139,0.103454,0.623752,0.072642,29
0.012167,0.995237,0.005516,0.108263,0.475615,0.080156,0.103485,0.623528,0.072662,30
