rmse_train,r2_train,mae_train,rmse_test,r2_test,mae_test,rmse_dev,r2_dev,mae_dev,Epoch
0.085046,0.552267,0.063956,0.071961,0.689105,0.054461,0.072482,0.681721,0.054903,1
0.070316,0.693932,0.053419,0.070356,0.702825,0.053079,0.070686,0.697299,0.053566,2
0.06562,0.733446,0.049784,0.069912,0.706557,0.052775,0.070187,0.701556,0.053158,3
0.060994,0.769706,0.046278,0.069058,0.713689,0.05212,0.069534,0.707083,0.052583,4
0.055817,0.807136,0.04243,0.06874,0.716314,0.051721,0.069272,0.709283,0.052541,5
0.050252,0.843678,0.038139,0.069501,0.710002,0.052704,0.070553,0.698435,0.053824,6
0.044707,0.876276,0.033821,0.06743,0.727028,0.050219,0.069073,0.710957,0.051575,7
0.039986,0.901024,0.030146,0.06753,0.726216,0.050312,0.06902,0.711401,0.051391,8
0.035349,0.922649,0.026577,0.064904,0.747092,0.04758,0.06665,0.730877,0.048957,9
0.031093,0.940153,0.023336,0.064265,0.752053,0.047118,0.065476,0.740273,0.047804,10
0.026207,0.957484,0.019797,0.060595,0.779561,0.043862,0.062418,0.763965,0.044759,11
0.021357,0.971765,0.01585,0.060101,0.783139,0.043088,0.061855,0.768206,0.043706,12
0.018354,0.979146,0.013384,0.059762,0.785577,0.042537,0.061464,0.771131,0.04297,13
0.01601,0.984134,0.011505,0.059539,0.787175,0.042127,0.061214,0.772988,0.042419,14
0.014118,0.987662,0.009983,0.059334,0.788642,0.041775,0.061021,0.774416,0.041998,15
0.012558,0.990238,0.008741,0.059228,0.789397,0.041502,0.06091,0.775237,0.04169,16
0.011262,0.992149,0.0077,0.059152,0.789932,0.04128,0.060807,0.775996,0.041423,17
0.010208,0.99355,0.006842,0.059123,0.790139,0.041113,0.060779,0.776198,0.041276,18
0.009346,0.994592,0.006141,0.059103,0.790281,0.040949,0.060745,0.776453,0.041129,19
0.008644,0.995375,0.005551,0.059028,0.790818,0.040757,0.060648,0.777162,0.040959,20
0.008459,0.995571,0.005807,0.058646,0.793513,0.040178,0.060161,0.780727,0.040422,21
0.007748,0.996284,0.005207,0.058558,0.794135,0.039971,0.060062,0.78145,0.040223,22
0.007266,0.996731,0.004762,0.058477,0.794705,0.039792,0.059974,0.782092,0.040065,23
0.00689,0.997061,0.004405,0.058435,0.795,0.039667,0.059918,0.782496,0.03995,24
0.006573,0.997326,0.004102,0.058424,0.795071,0.039583,0.059886,0.782726,0.039874,25
0.0063,0.997543,0.003844,0.058404,0.795214,0.039502,0.05986,0.782918,0.039807,26
0.006063,0.997725,0.003614,0.058398,0.795257,0.039441,0.05985,0.782991,0.039758,27
0.005857,0.997877,0.003412,0.05838,0.795381,0.039376,0.059832,0.783119,0.039704,28
0.005669,0.99801,0.003226,0.058379,0.795387,0.039331,0.059825,0.783172,0.039668,29
0.005508,0.998122,0.003065,0.058381,0.795374,0.039292,0.059824,0.783181,0.039635,30
