rmse_train,r2_train,mae_train,rmse_test,r2_test,mae_test,rmse_dev,r2_dev,mae_dev,Epoch
0.16392,0.088495,0.126613,0.134576,0.311245,0.102534,0.119963,0.523114,0.094374,1
0.129803,0.428441,0.101321,0.129532,0.361906,0.0966,0.114718,0.563903,0.089196,2
0.117336,0.532957,0.091696,0.127594,0.380853,0.092527,0.113937,0.569821,0.08597,3
0.108223,0.60269,0.083994,0.125569,0.400354,0.090249,0.114292,0.56714,0.085154,4
0.099186,0.666267,0.076969,0.123819,0.416953,0.088502,0.113956,0.569679,0.085092,5
0.090847,0.720029,0.069726,0.123543,0.419546,0.089978,0.117842,0.539831,0.088405,6
0.082503,0.769093,0.062937,0.12242,0.430053,0.091535,0.120573,0.518254,0.093162,7
0.07466,0.810911,0.05643,0.125903,0.39716,0.093804,0.122399,0.503551,0.093232,8
0.06775,0.84429,0.050262,0.123408,0.420809,0.092367,0.120624,0.517845,0.093088,9
0.062228,0.868638,0.046173,0.127591,0.380887,0.095896,0.122962,0.498978,0.093157,10
0.057517,0.887776,0.043003,0.13734,0.282658,0.104408,0.132395,0.419157,0.099644,11
0.049929,0.915433,0.036583,0.134388,0.313165,0.101876,0.128549,0.452409,0.095901,12
0.045029,0.931218,0.032345,0.132292,0.334422,0.099912,0.124999,0.482235,0.092085,13
