rmse_train,r2_train,mae_train,rmse_test,r2_test,mae_test,rmse_dev,r2_dev,mae_dev,Epoch
0.071316,0.686169,0.054216,0.061103,0.774038,0.046988,0.062777,0.758711,0.048948,1
0.060431,0.77466,0.046693,0.058591,0.792239,0.044933,0.05995,0.779952,0.046384,2
0.057718,0.794443,0.04452,0.057439,0.800324,0.043785,0.058921,0.787443,0.045459,3
0.055368,0.810839,0.042691,0.05741,0.800526,0.043645,0.058925,0.787415,0.045408,4
0.052964,0.826906,0.04085,0.05704,0.803093,0.043412,0.058825,0.788132,0.045314,5
0.051159,0.838507,0.039435,0.056138,0.809266,0.042635,0.05787,0.794957,0.044319,6
0.047336,0.861741,0.036474,0.05552,0.813442,0.042183,0.057379,0.798421,0.043699,7
0.043012,0.885846,0.033162,0.054771,0.818445,0.041418,0.056764,0.802717,0.042962,8
0.03876,0.907297,0.029914,0.054214,0.822118,0.040815,0.056391,0.805303,0.042203,9
0.034652,0.925906,0.026665,0.053689,0.825545,0.040269,0.056315,0.805825,0.041772,10
0.029644,0.945777,0.022566,0.051669,0.838426,0.038125,0.054675,0.816971,0.039988,11
0.02698,0.955084,0.020383,0.051332,0.840526,0.037645,0.054289,0.819548,0.039519,12
0.024809,0.962023,0.018601,0.051047,0.842296,0.037184,0.054079,0.82094,0.039132,13
0.022841,0.967809,0.016971,0.050918,0.843092,0.036867,0.053939,0.821867,0.038756,14
0.021016,0.972746,0.015456,0.050809,0.843763,0.036538,0.053848,0.822469,0.038411,15
0.019426,0.976714,0.014138,0.050725,0.844278,0.036257,0.053807,0.822735,0.038127,16
0.017875,0.980284,0.01289,0.050783,0.84392,0.036156,0.053718,0.823321,0.037869,17
0.016437,0.98333,0.011759,0.050841,0.843566,0.036054,0.05371,0.823373,0.03784,18
0.015122,0.985889,0.010721,0.050875,0.843356,0.035982,0.05368,0.823574,0.037698,19
0.014046,0.987826,0.009911,0.050915,0.84311,0.035907,0.05357,0.824295,0.037685,20
0.013207,0.989237,0.009507,0.050897,0.843218,0.035692,0.053342,0.825786,0.037532,21
0.011952,0.991185,0.008474,0.050878,0.843337,0.035557,0.053292,0.826112,0.037361,22
0.011119,0.992371,0.007764,0.050853,0.84349,0.035456,0.053225,0.826549,0.037198,23
0.010394,0.993333,0.007167,0.05081,0.843755,0.035337,0.05316,0.826972,0.03707,24
0.009769,0.994111,0.00665,0.050751,0.844116,0.035203,0.053086,0.827458,0.036931,25
0.009191,0.994788,0.006177,0.05069,0.844491,0.035074,0.053,0.828012,0.036782,26
0.00868,0.995351,0.005763,0.050619,0.844926,0.034948,0.052897,0.828684,0.036635,27
0.008201,0.99585,0.005382,0.050566,0.84525,0.034833,0.052838,0.829063,0.036516,28
0.007777,0.996268,0.005035,0.050506,0.845619,0.034715,0.052728,0.829773,0.036364,29
0.007383,0.996637,0.004715,0.050463,0.845884,0.034619,0.052694,0.829997,0.036276,30
