rmse_train,r2_train,mae_train,rmse_test,r2_test,mae_test,rmse_dev,r2_dev,mae_dev,Epoch
0.147801,0.258944,0.112777,0.115705,0.490865,0.086885,0.108,0.613485,0.081685,1
0.118975,0.519819,0.091843,0.113585,0.509345,0.084709,0.106243,0.625959,0.078949,2
0.112477,0.570835,0.086231,0.113766,0.507781,0.084376,0.10607,0.627176,0.077844,3
0.108271,0.60233,0.082726,0.113061,0.513868,0.083367,0.105677,0.629932,0.077208,4
0.107309,0.609371,0.081906,0.111335,0.528598,0.081565,0.10457,0.637646,0.07701,5
0.115832,0.544857,0.088485,0.115186,0.495418,0.085749,0.1057,0.629771,0.078576,6
0.105742,0.620696,0.080906,0.111844,0.524273,0.08243,0.104781,0.636186,0.076856,7
0.102567,0.643132,0.078386,0.113504,0.510049,0.084267,0.104852,0.635693,0.07585,8
0.098495,0.670903,0.075007,0.13169,0.340469,0.089324,0.133921,0.405687,0.080897,9
0.125527,0.465478,0.090608,0.144396,0.207054,0.104652,0.141381,0.337632,0.100067,10
0.096565,0.683675,0.073272,0.11763,0.473778,0.088354,0.106603,0.623423,0.077893,11
0.093923,0.700744,0.071098,0.117143,0.478126,0.088476,0.10616,0.626541,0.077631,12
0.092329,0.710819,0.069733,0.117074,0.478746,0.088754,0.105988,0.627755,0.077614,13
0.090655,0.721208,0.068411,0.117614,0.473924,0.089425,0.106664,0.62299,0.078133,14
0.089028,0.731129,0.067178,0.11799,0.470552,0.090048,0.107043,0.620303,0.078643,15
