rmse_train,r2_train,mae_train,rmse_test,r2_test,mae_test,rmse_dev,r2_dev,mae_dev,Epoch
0.070213,0.694821,0.052504,0.062608,0.76467,0.048264,0.060758,0.776354,0.047019,1
0.05382,0.820692,0.041348,0.059845,0.784984,0.045432,0.057239,0.801513,0.044048,2
0.047182,0.862194,0.035483,0.058448,0.794905,0.044478,0.056592,0.805971,0.043163,3
0.037548,0.912725,0.028345,0.056345,0.8094,0.042361,0.0542,0.822027,0.040414,4
0.030599,0.94204,0.022659,0.054254,0.823286,0.040067,0.052073,0.835721,0.038627,5
0.025387,0.960104,0.01866,0.055374,0.815914,0.04096,0.05321,0.828471,0.039603,6
0.03473,0.925336,0.020441,0.054376,0.822485,0.040161,0.05498,0.816871,0.040052,7
0.086817,0.533426,0.025382,0.055256,0.816693,0.041143,0.054408,0.820658,0.040766,8
0.184062,-1.097199,0.033971,0.144651,-0.25619,0.04851,0.061128,0.773627,0.046603,9
0.180536,-1.017634,0.037664,0.091738,0.494743,0.0544,0.070759,0.696668,0.054476,10
0.342218,-6.24967,0.034737,0.077308,0.641191,0.045833,0.05921,0.787607,0.044854,11
0.246881,-2.773027,0.037845,0.07042,0.702278,0.052412,0.066369,0.733138,0.051521,12
0.112078,0.222407,0.038154,0.070375,0.702663,0.045518,0.066764,0.729953,0.044652,13
0.528823,-16.311478,0.042668,0.06558,0.7418,0.043928,0.057322,0.800933,0.042924,14
0.043492,0.882907,0.02704,0.065003,0.746323,0.042232,0.054839,0.817807,0.041097,15
