rmse_train,r2_train,mae_train,rmse_test,r2_test,mae_test,rmse_dev,r2_dev,mae_dev,Epoch
0.148171,0.255235,0.11383,0.118935,0.462043,0.087583,0.102982,0.648567,0.077962,1
0.104413,0.630172,0.080347,0.114253,0.50356,0.085851,0.098387,0.679232,0.075926,2
0.087058,0.742895,0.066445,0.11563,0.491519,0.088533,0.099071,0.674756,0.077102,3
0.071817,0.825036,0.054628,0.117267,0.477021,0.08958,0.099121,0.674428,0.076812,4
0.06084,0.874436,0.04559,0.117113,0.478391,0.089633,0.099219,0.673784,0.07618,5
0.051706,0.909308,0.037949,0.116732,0.48178,0.089209,0.098894,0.675917,0.075951,6
0.045425,0.930002,0.033158,0.120007,0.452298,0.09069,0.09815,0.680772,0.074194,7
0.041314,0.942099,0.030485,0.123894,0.416243,0.093334,0.101385,0.659382,0.075358,8
0.039418,0.94729,0.028852,0.126648,0.390005,0.096066,0.105107,0.633917,0.078434,9
0.036712,0.95428,0.027285,0.122186,0.432224,0.09274,0.102256,0.653504,0.07517,10
0.03639,0.955078,0.02755,0.116434,0.484428,0.086764,0.094707,0.702775,0.068164,11
0.029084,0.971306,0.021377,0.117046,0.478994,0.086981,0.095125,0.700147,0.068005,12
0.025675,0.977638,0.018165,0.116716,0.481923,0.086677,0.094968,0.701137,0.067736,13
0.023258,0.98165,0.015883,0.116063,0.487707,0.086168,0.094383,0.70481,0.067097,14
0.021453,0.984387,0.014187,0.115003,0.49702,0.085349,0.093577,0.709828,0.066379,15
0.019988,0.986447,0.01278,0.114091,0.504965,0.084638,0.092858,0.71427,0.065693,16
0.01879,0.988024,0.011638,0.113009,0.514309,0.083972,0.092201,0.718296,0.065122,17
0.017726,0.989342,0.010602,0.112438,0.519205,0.083593,0.091782,0.720851,0.064792,18
0.016727,0.990509,0.009588,0.111558,0.526703,0.083104,0.091454,0.722844,0.064743,19
0.016087,0.991221,0.009072,0.111495,0.527241,0.083048,0.091443,0.722911,0.064956,20
0.016609,0.990643,0.010788,0.110289,0.537413,0.082145,0.091027,0.725426,0.064615,21
0.015611,0.991733,0.00987,0.110312,0.537215,0.082007,0.091117,0.724883,0.064442,22
0.014931,0.992438,0.009136,0.11035,0.536901,0.081935,0.091244,0.724113,0.064353,23
0.014383,0.992982,0.008527,0.110443,0.536119,0.081901,0.091372,0.723342,0.064352,24
0.013911,0.993436,0.007997,0.110547,0.535244,0.081868,0.091486,0.722649,0.064382,25
0.013504,0.993814,0.007536,0.110655,0.534331,0.081851,0.091603,0.721943,0.06443,26
0.013151,0.994133,0.007115,0.110773,0.53334,0.081847,0.091698,0.721364,0.064488,27
0.01284,0.994407,0.006742,0.110874,0.532486,0.081859,0.09178,0.720866,0.064546,28
0.01257,0.99464,0.006415,0.11096,0.531764,0.081867,0.091831,0.720554,0.064585,29
0.012326,0.994846,0.006112,0.111034,0.531136,0.081882,0.091867,0.720336,0.064604,30
