smitrans_esm1b_KKM: {1: 0.70390848332196, 2: 0.788430792369698, 3: 0.9168342287151536, 4: 0.6565738658254046, 5: -0.7232766144961422, 6: 0.9526497557526555}
smitrans_esm2_KKM: {1: 0.7076587514636801, 2: 0.7854413260571689, 3: 0.9241452886741031, 4: 0.7079905806398341, 5: -0.6451177950744518, 6: 0.9608005744412719}
smitrans_esmc_KKM: {1: 0.7084567258390136, 2: 0.7885405456145151, 3: 0.9096674236380476, 4: 0.6606417749374327, 5: -0.3995292987501029, 6: 0.9736821683781912}
smitrans_prott5_KKM: {1: 0.7124533332992733, 2: 0.7951016085274518, 3: 0.9108900024743046, 4: 0.7079538931579286, 5: -0.17282129916811262, 6: 0.9660759658001503}
smitrans_prollama_KKM: {1: 0.6430958291410342, 2: 0.7761584761904536, 3: 0.8357382905242756, 4: 0.6668067295668243, 5: -0.6041787938023895, 6: 0.9276590319602741}
molgen_esm1b_KKM: {1: 0.7052150516933416, 2: 0.7833429801525806, 3: 0.9307579439327308, 4: 0.6465940999054947, 5: -0.2247124334869115, 6: 0.9467882760736465}
molgen_esm2_KKM: {1: 0.711547766922833, 2: 0.7901936708113344, 3: 0.9310871186914408, 4: 0.6620081612324974, 5: -0.32127780275331963, 6: 0.9749185986314806}
molgen_esmc_KKM: {1: 0.7068031117159077, 2: 0.8003875436199877, 3: 0.9164983140665092, 4: 0.6789949034724909, 5: -0.4747317129854598, 6: 0.9608272663000591}
molgen_prott5_KKM: {1: 0.7227128611105906, 2: 0.8100205200367497, 3: 0.9162754625690483, 4: 0.6501289502368255, 5: -0.25329525071508696, 6: 0.9490391908803986}
molgen_prollama_KKM: {1: 0.6439797404167485, 2: 0.7806149814008724, 3: 0.8731375551624139, 4: 0.6420062268854374, 5: -0.4880279533653027, 6: 0.9527618274828911}
molebert_esm1b_KKM: {1: 0.6915577341029795, 2: 0.7628155047529641, 3: 0.928106299170498, 4: 0.6871613538087863, 5: -0.7522187566531409, 6: 0.9518016928886318}
molebert_esm2_KKM: {1: 0.6956972540340525, 2: 0.7616453075684341, 3: 0.9404277991673526, 4: 0.6709224140828836, 5: -0.6092267568182308, 6: 0.9524751779755214}
molebert_esmc_KKM: {1: 0.7023135791844597, 2: 0.7844463143107, 3: 0.9234859945090507, 4: 0.6576163431742895, 5: -0.6587851745118454, 6: 0.9417307592740444}
molebert_prott5_KKM: {1: 0.7090009444864176, 2: 0.7812652304907927, 3: 0.9264911346960377, 4: 0.6824315579745697, 5: -0.46835181549408245, 6: 0.922086115393227}
molebert_prollama_KKM: {1: 0.6392652849232678, 2: 0.7736154161478402, 3: 0.8416655833464199, 4: 0.6687652449055128, 5: -0.40822355343453975, 6: 0.9090065853836535}
unimolv1_esm1b_KKM: {1: 0.7064766768165849, 2: 0.7663366129027679, 3: 0.9328190011474863, 4: 0.6555784153297249, 5: -0.7400573047377821, 6: 0.9559634590364054}
unimolv1_esm2_KKM: {1: 0.7129841531384558, 2: 0.7839435642448163, 3: 0.9298234541422125, 4: 0.6546778788116812, 5: -0.7752208503811411, 6: 0.958589479304954}
unimolv1_esmc_KKM: {1: 0.7070793747612647, 2: 0.7958601950032407, 3: 0.9214228435969353, 4: 0.6387854922097662, 5: -0.475824823814718, 6: 0.9660252987483444}
unimolv1_prott5_KKM: {1: 0.7212790862583405, 2: 0.7893262256270871, 3: 0.92218449609941, 4: 0.6836128413130612, 5: -0.20922067180662962, 6: 0.9503733090811363}
unimolv1_prollama_KKM: {1: 0.6368368864655684, 2: 0.773884075511759, 3: 0.8323498333552439, 4: 0.6805275005035629, 5: -0.6264198076123675, 6: 0.9560262860793282}
unimolv2_esm1b_KKM: {1: 0.708086904360586, 2: 0.7965551562238645, 3: 0.9301383438862117, 4: 0.680159153414871, 5: -1.2243209580381782, 6: 0.9532533295883254}
unimolv2_esm2_KKM: {1: 0.7073889634417119, 2: 0.7858812754039763, 3: 0.939110138753656, 4: 0.6891863629598849, 5: -0.5995210283220207, 6: 0.9555794182195592}
unimolv2_esmc_KKM: {1: 0.706581809256728, 2: 0.7834358913587024, 3: 0.9192206841980387, 4: 0.6759053621541573, 5: -0.9796704746976002, 6: 0.9586915612130277}
unimolv2_prott5_KKM: {1: 0.7230581051779048, 2: 0.8198814199307678, 3: 0.9124705572633627, 4: 0.6681250766848614, 5: 0.017026507341096786, 6: 0.9708998700611823}
unimolv2_prollama_KKM: {1: 0.6474060800220623, 2: 0.7892338598923556, 3: 0.8433087097410615, 4: 0.6471283602904527, 5: -0.23667859168734173, 6: 0.9653252192023614}
chemberta2_esm1b_KKM: {1: 0.7004192499486668, 2: 0.77640583372497, 3: 0.9199444549135639, 4: 0.6582323135495864, 5: -0.5870304915656579, 6: 0.9472254548022421}
chemberta2_esm2_KKM: {1: 0.7023101703807645, 2: 0.7821645944509223, 3: 0.9219823968969963, 4: 0.6780542778565259, 5: -0.9209843174272914, 6: 0.9521476625479064}
chemberta2_esmc_KKM: {1: 0.7005274713933538, 2: 0.7891654521837486, 3: 0.9091801397822084, 4: 0.7011864165073467, 5: -0.6923636695919058, 6: 0.9509362510849217}
chemberta2_prott5_KKM: {1: 0.7174272070018313, 2: 0.8097107396203338, 3: 0.9076007592798851, 4: 0.6640884106276336, 5: 0.19688024899371026, 6: 0.9651473637938206}
chemberta2_prollama_KKM: {1: 0.6296090678960297, 2: 0.765258867817032, 3: 0.8521466548939982, 4: 0.6664290129717443, 5: -0.4439020210704798, 6: 0.9443454953613557}
ecfp_esm1b_KKM: {1: 0.7032437179059478, 2: 0.7568062011996712, 3: 0.9127325376917165, 4: 0.6762472322475883, 5: -0.9596401532085155, 6: 0.9541186336217417}
ecfp_esm2_KKM: {1: 0.6964073778391517, 2: 0.7628022162376017, 3: 0.9188210743975515, 4: 0.6425963802485712, 5: -1.281868156406305, 6: 0.9618567445358961}
ecfp_esmc_KKM: {1: 0.6956170650571296, 2: 0.7801949133046882, 3: 0.910574221934883, 4: 0.648586888146162, 5: -0.4546683910949916, 6: 0.9569243099693528}
ecfp_prott5_KKM: {1: 0.704947254429358, 2: 0.7611895049692456, 3: 0.8941320269731559, 4: 0.6921058932512874, 5: -0.30206762173409096, 6: 0.9565112579650913}
