Model,Mean Accuracy,Mean Precision,Mean Recall,Mean F1,Rank
molebert_prott5_KCAT,0.8837793580551787,0.7549724653694202,0.6707504598364531,0.7097563711742899,1.0
ecfp_prott5_KCAT,0.8831912736292059,0.7475399501246842,0.6796129694863705,0.7115218177141817,2.0
molebert_esm2_KCAT,0.8826998324274236,0.7523960235300622,0.6674772602080029,0.7068488154171358,3.0
ecfp_esm2_KCAT,0.8809381803310931,0.7458744913121249,0.6661404100129541,0.703338597013748,4.0
rdkitfp_prott5_KCAT,0.8809134976119927,0.739608475374705,0.6771212117893376,0.7067739008717406,5.0
molebert_esm1b_KCAT,0.8809068070946079,0.7522523048994039,0.6547284823229578,0.6996771491091553,6.0
molebert_esmc_KCAT,0.8807288677312245,0.7467006388467576,0.6632932333466395,0.7020727792974851,7.0
rdkitfp_esm2_KCAT,0.8800337643866731,0.7439164347741404,0.6632260761103806,0.7009062337990448,8.0
rdkitfp_esm1b_KCAT,0.8796197412297386,0.7418979034721833,0.6635526272970405,0.7003211517232605,9.0
ecfp_esm1b_KCAT,0.8789453754013516,0.740911834435561,0.6617699841905175,0.6986304711797129,10.0
ecfp_esmc_KCAT,0.8788554249961177,0.740491564448114,0.6609865060215441,0.6980180447238531,11.0
maccskeys_prott5_KCAT,0.8776673063713257,0.7313302518828426,0.6702679560729182,0.6989781727590045,12.0
rdkitfp_esmc_KCAT,0.8768598814777876,0.7328449300838683,0.6607903625437188,0.6946096499846276,13.0
unimolv2_prott5_KCAT,0.8763723796020525,0.7357666409869781,0.6511200913105444,0.6905969590100559,14.0
maccskeys_esm1b_KCAT,0.8763655163023261,0.7308853608249339,0.6608775583178071,0.6938853241137808,15.0
unimolv1_prott5_KCAT,0.8757706002403752,0.7380683766213749,0.6421608889933259,0.6865624863982525,16.0
unimolv2_esmc_KCAT,0.8755884577043538,0.7357414485259753,0.6453766759022694,0.6873083384250467,17.0
maccskeys_esm2_KCAT,0.874695303472101,0.7255765926343163,0.6590068041652358,0.6903812377526688,18.0
unimolv2_esm1b_KCAT,0.8745921680574021,0.7343833756929465,0.6408467436109844,0.6841142811593416,19.0
chemberta2_prott5_KCAT,0.8739930428398749,0.7320822134628264,0.640885108286819,0.6831156306938247,20.0
unimolv2_esm2_KCAT,0.8739834962915165,0.7334919490932478,0.6379275943626803,0.6821209525424419,21.0
unimolv1_esmc_KCAT,0.8737954059447898,0.7356128554889365,0.6322920223386933,0.6798619848168169,22.0
molgen_prott5_KCAT,0.8736130243940163,0.7339338868785334,0.634503490851586,0.6800474092404978,23.0
molebert_prollama_KCAT,0.873492183960851,0.7246288132499507,0.6520554495812807,0.6860028874498247,24.0
molgen_esm1b_KCAT,0.8733124706730468,0.732273212472824,0.6357747624119522,0.6801178912792141,25.0
unimolv1_esm1b_KCAT,0.8733001922496063,0.7350173229647764,0.6304628696061111,0.6784481631029233,26.0
molgen_esm2_KCAT,0.8728258526681806,0.726669323495977,0.6423631997598701,0.6815497487439977,27.0
chemberta2_esmc_KCAT,0.872805407899462,0.7302016396134346,0.6357516418931681,0.6792797759489948,28.0
unimolv1_esm2_KCAT,0.8725020311756919,0.729412977582299,0.6347588123268748,0.6784804030372652,29.0
maccskeys_esmc_KCAT,0.8723250013670041,0.7161949543991037,0.65996355291679,0.6865797871748769,30.0
molgen_esmc_KCAT,0.8721383698365035,0.7292734893938481,0.632073524548762,0.6767701721200342,31.0
ecfp_prollama_KCAT,0.8718200585345081,0.7170051426329265,0.6542294243892872,0.6838904539904659,32.0
smitrans_esm2_KCAT,0.8712360053447865,0.7297928178743535,0.6240326101201132,0.6724449930042301,33.0
chemberta2_esm1b_KCAT,0.8705198899849123,0.7253916638954084,0.6277541551096242,0.6726734526357399,34.0
chemberta2_esm2_KCAT,0.8701599950471213,0.7246132120189118,0.6254641919671051,0.6711948559610899,35.0
smitrans_prott5_KCAT,0.8701346652763806,0.7260143795999794,0.6236206893844807,0.6704872918905422,36.0
smitrans_esm1b_KCAT,0.8696330741583566,0.7226543963948996,0.6263325444379725,0.6705907725824889,37.0
smitrans_esmc_KCAT,0.8677803552547069,0.7163954848276368,0.623524475318111,0.6664770500379179,38.0
rdkitfp_prollama_KCAT,0.8673581141999531,0.703351904334889,0.6482865006587022,0.6743905556982519,39.0
maccskeys_prollama_KCAT,0.8650796676760386,0.6959669588733473,0.6468550735749103,0.6702454023916655,40.0
unimolv2_prollama_KCAT,0.8633923844278835,0.7039866871846693,0.6156211663633806,0.6563668138952876,41.0
unimolv1_prollama_KCAT,0.8623155211559819,0.702504431786191,0.6100028747340003,0.6524231352491607,42.0
molgen_prollama_KCAT,0.8603335601707295,0.6959688051197408,0.607233111713923,0.6482150711797467,43.0
chemberta2_prollama_KCAT,0.8599542061425849,0.6975221747739939,0.600264476735361,0.6448255290335944,44.0
smitrans_prollama_KCAT,0.8572613978350109,0.6883084178297368,0.598191738980787,0.6398291822892386,45.0
