Model,Mean Accuracy,Mean Precision,Mean Recall,Mean F1,Rank
unimolv1_prott5_KKM,0.8597709896036978,0.7391023551212262,0.7000646868066223,0.7189811433869389,1.0
molgen_prott5_KKM,0.8574689209929037,0.7286239993769136,0.7058044888206179,0.7168914069775918,2.0
chemberta2_esm1b_KKM,0.8568269190133664,0.7273351235879175,0.7091283068783069,0.717959652062628,3.0
chemberta2_esm2_KKM,0.8567054259601836,0.7265058092168298,0.7070325567502987,0.7164374348427505,4.0
unimolv1_esm1b_KKM,0.8562268424971358,0.7252573298672316,0.7072407407407407,0.7159594505520616,5.0
smitrans_prott5_KKM,0.8546651293593683,0.7235139652118205,0.7012922000341355,0.7121523092139412,6.0
smitrans_esmc_KKM,0.8546310904191932,0.7290420005282724,0.6894740570063151,0.7082795062870281,7.0
molgen_esm1b_KKM,0.8544971609077884,0.7267710816186301,0.6927030209933436,0.709211514889024,8.0
chemberta2_prott5_KKM,0.854399998953791,0.7234675190079167,0.6990904591227172,0.7107594947970847,9.0
unimolv2_prott5_KKM,0.854121429475241,0.7240148273236968,0.6972767110428401,0.7101530541044716,10.0
molebert_esm2_KKM,0.8538464546349485,0.7280934024936764,0.6856449479433351,0.7061802457440945,11.0
unimolv2_esm2_KKM,0.8537930049421938,0.7207005834784577,0.7010794930875577,0.7106259536734411,12.0
molgen_esm2_KKM,0.8535440329578939,0.722318328005948,0.6952612220515446,0.7083686467523591,13.0
smitrans_esm2_KKM,0.8532536567138562,0.7199661045504196,0.7002920720259429,0.7098213971032357,14.0
unimolv1_esm2_KKM,0.8532308680298808,0.7203731616902677,0.6979289554531489,0.7087483932846985,15.0
unimolv1_esmc_KKM,0.8526169021916112,0.7235007688969336,0.6879818655060591,0.7050852815295282,16.0
smitrans_esm1b_KKM,0.8524699616200463,0.7204744890914532,0.6941042413381122,0.7068476055088901,17.0
molgen_esmc_KKM,0.8522039916589307,0.7171457776845672,0.6999477299880525,0.7082275993108287,18.0
molebert_esm1b_KKM,0.8522020564938113,0.7275578986953629,0.6784719235364397,0.701980046949058,19.0
molebert_prott5_KKM,0.8516269408123163,0.721227035779575,0.6873257808499744,0.7037735275731211,20.0
chemberta2_esmc_KKM,0.8510965728020329,0.7163034828380301,0.6935678443420379,0.7046623513929873,21.0
molebert_esmc_KKM,0.8504542926628289,0.7221645029846936,0.6771752432155658,0.6987394055446057,22.0
rdkitfp_esm2_KKM,0.8490796544284402,0.716544009957891,0.6814889912954429,0.6984994188239319,23.0
rdkitfp_prott5_KKM,0.8490048688727114,0.7171735798396816,0.6791395289298515,0.6974942297426734,24.0
rdkitfp_esm1b_KKM,0.8485323986123954,0.7131964889753037,0.685126301416624,0.6987939689931922,25.0
unimolv2_esm1b_KKM,0.8483519704846177,0.7129411216512722,0.6844668032087386,0.6982227610115466,26.0
unimolv2_esmc_KKM,0.848255770714327,0.7130202819607443,0.6841533111452466,0.6981494764580057,27.0
unimolv1_prollama_KKM,0.8470021809136206,0.7063276656034642,0.6901193036354327,0.6978706068079842,28.0
rdkitfp_esmc_KKM,0.8451643687171797,0.7131773891742933,0.6642678358081584,0.6877452769615726,29.0
molgen_prollama_KKM,0.8447760799169748,0.6990708765697144,0.6943535586277522,0.6959335320112112,30.0
ecfp_esm1b_KKM,0.8442531874910933,0.7100358921030376,0.6647486345792798,0.6863758026763367,31.0
maccskeys_prott5_KKM,0.8429523701610414,0.7004365127603808,0.676357910906298,0.6879990229781395,32.0
unimolv2_prollama_KKM,0.8427672099112333,0.6940515980130948,0.6915306792968083,0.6924940095793228,33.0
maccskeys_esm2_KKM,0.8425045949022791,0.6999818524828719,0.6744534050179212,0.686756693833035,34.0
maccskeys_esm1b_KKM,0.8422531635345502,0.6990757905505096,0.6763330346475508,0.6872963487182673,35.0
smitrans_prollama_KKM,0.8411986765674596,0.6916216134759374,0.6876300136542073,0.689329455645056,36.0
molebert_prollama_KKM,0.8410424308145827,0.6979314808099473,0.670350102406554,0.6835371154665455,37.0
ecfp_prott5_KKM,0.8408873348719634,0.6981249920077127,0.6688216419184161,0.6828609926617636,38.0
chemberta2_prollama_KKM,0.8406085340801532,0.6924615355982625,0.6813104198668715,0.6863702641474008,39.0
ecfp_esmc_KKM,0.8395280745905739,0.7014857288139353,0.6532502133469876,0.6760006570061116,40.0
maccskeys_esmc_KKM,0.8394553541824022,0.6965203322708394,0.6637849035671616,0.679605903822879,41.0
ecfp_esm2_KKM,0.838885685962204,0.6951551824207628,0.6619761478067929,0.6779340231569992,42.0
rdkitfp_prollama_KKM,0.8340812563636811,0.6813835149364869,0.6641227171872334,0.6722889081849153,43.0
maccskeys_prollama_KKM,0.830325653007527,0.6741775005732492,0.6576586874893326,0.6649572467535227,44.0
ecfp_prollama_KKM,0.829724765783299,0.6750061510992543,0.6475377624167947,0.6606536487801306,45.0
