Model,Mean R2,Rank
molebert_prott5,0.5999374071053224,1.0
molebert_esmc,0.5963427132603171,2.0
molebert_esm1b,0.5959547366611544,3.0
unimolv1_prott5,0.5958864679939809,4.0
unimolv1_esm1b,0.5958617646530902,5.0
unimolv2_prott5,0.5954269558469777,6.0
molgen_prott5,0.5938566239156452,7.0
molebert_esm2,0.5938340509671534,8.0
unimolv1_esmc,0.5938174264852231,9.0
molgen_esm1b,0.5936925103660661,10.0
unimolv1_esm2,0.5922699531400007,11.0
unimolv2_esm1b,0.5919569454537864,12.0
molgen_esmc,0.5914471736435307,13.0
smitrans_prott5,0.5887322688101173,14.0
smitrans_esmc,0.5885239364156089,15.0
unimolv2_esmc,0.5884968291276336,16.0
unimolv2_esm2,0.5884595321417199,17.0
molgen_esm2,0.5875098922857603,18.0
smitrans_esm2,0.5855231536538141,19.0
smitrans_esm1b,0.5847395471405947,20.0
chemberta2_prott5,0.5835755703844651,21.0
chemberta2_esmc,0.5803728203525294,22.0
chemberta2_esm1b,0.5799704201741676,23.0
chemberta2_esm2,0.5788109577357228,24.0
ecfp_prott5,0.5772950813218255,25.0
ecfp_esm1b,0.5726921366968949,26.0
ecfp_esmc,0.5698191961687421,27.0
ecfp_esm2,0.5680626844108521,28.0
rdkitfp_prott5,0.5616297926327148,29.0
maccskeys_prott5,0.5613483819555236,30.0
molebert_prollama,0.556492799142806,31.0
maccskeys_esm1b,0.5555302406856862,32.0
rdkitfp_esm1b,0.5546869675433511,33.0
rdkitfp_esmc,0.552862075125702,34.0
maccskeys_esmc,0.5519646520262247,35.0
rdkitfp_esm2,0.5515888080521862,36.0
maccskeys_esm2,0.5493741978645106,37.0
unimolv1_prollama,0.5491084967095817,38.0
molgen_prollama,0.5486280763147997,39.0
unimolv2_prollama,0.54545643385345,40.0
smitrans_prollama,0.5393579838704967,41.0
chemberta2_prollama,0.5320281083575554,42.0
ecfp_prollama,0.5288917122438774,43.0
maccskeys_prollama,0.5122872462569816,44.0
rdkitfp_prollama,0.5109620051541581,45.0
