Model,Mean Value (Key 3),Rank (Key 3)
molebert_esmc_KCAT,0.8777855516584877,1.0
ecfp_esm2_KCAT,0.8776098999988331,2.0
rdkitfp_esm1b_KCAT,0.8752724259758381,3.0
molebert_esm1b_KCAT,0.8745936582169049,4.0
rdkitfp_esm2_KCAT,0.8745674234179329,5.0
unimolv2_esmc_KCAT,0.8737863991724326,6.0
rdkitfp_esmc_KCAT,0.8729567698442695,7.0
molebert_esm2_KCAT,0.8727401988548265,8.0
ecfp_esm1b_KCAT,0.8725226587659722,9.0
molgen_esm2_KCAT,0.8716121972285908,10.0
ecfp_esmc_KCAT,0.8713050136700854,11.0
ecfp_prott5_KCAT,0.8701940252098442,12.0
unimolv2_esm2_KCAT,0.8696876805765232,13.0
molgen_esmc_KCAT,0.8693051854681162,14.0
molebert_prott5_KCAT,0.8683180719024961,15.0
unimolv1_esm1b_KCAT,0.868128752436348,16.0
unimolv1_esmc_KCAT,0.8661990529973809,17.0
chemberta2_esm2_KCAT,0.866042387550501,18.0
unimolv2_esm1b_KCAT,0.865994039555881,19.0
rdkitfp_prott5_KCAT,0.8658875245745292,20.0
unimolv1_esm2_KCAT,0.8651241796685486,21.0
molgen_esm1b_KCAT,0.864641288868046,22.0
smitrans_esmc_KCAT,0.8639937807741713,23.0
chemberta2_esm1b_KCAT,0.8627220694850802,24.0
molgen_prott5_KCAT,0.8603928512835133,25.0
chemberta2_esmc_KCAT,0.859623054704773,26.0
smitrans_esm1b_KCAT,0.8593970219956247,27.0
maccskeys_esmc_KCAT,0.8567580247697311,28.0
smitrans_esm2_KCAT,0.8560568440642922,29.0
unimolv2_prott5_KCAT,0.8556962009527445,30.0
unimolv1_prott5_KCAT,0.8546976289088422,31.0
maccskeys_esm2_KCAT,0.8516230522975716,32.0
chemberta2_prott5_KCAT,0.8474777046607012,33.0
maccskeys_esm1b_KCAT,0.8434097267712207,34.0
smitrans_prott5_KCAT,0.8385668922482612,35.0
molebert_prollama_KCAT,0.8289276300795981,36.0
maccskeys_prott5_KCAT,0.8240401520688403,37.0
ecfp_prollama_KCAT,0.820103491231389,38.0
rdkitfp_prollama_KCAT,0.8184781925932455,39.0
unimolv1_prollama_KCAT,0.8179872078370722,40.0
molgen_prollama_KCAT,0.8168920458285595,41.0
unimolv2_prollama_KCAT,0.8131378608890406,42.0
chemberta2_prollama_KCAT,0.8120785480011639,43.0
maccskeys_prollama_KCAT,0.8005197510448564,44.0
smitrans_prollama_KCAT,0.7986884532269313,45.0
