Model,Mean Value (Key 5),Rank (Key 5)
smitrans_prott5_KKM,-0.19941856140347383,1.0
unimolv1_prott5_KKM,-0.21663974945654604,2.0
maccskeys_prollama_KKM,-0.2341591882071119,3.0
rdkitfp_esm2_KKM,-0.23763641760180826,4.0
maccskeys_esmc_KKM,-0.294431436204569,5.0
unimolv2_esmc_KKM,-0.30937157518633274,6.0
unimolv1_esmc_KKM,-0.3160294953374849,7.0
unimolv1_prollama_KKM,-0.32229952871504425,8.0
maccskeys_prott5_KKM,-0.32796991739763454,9.0
chemberta2_prott5_KKM,-0.3765064411210569,10.0
unimolv2_prott5_KKM,-0.4115887608388481,11.0
rdkitfp_prott5_KKM,-0.43129475723005184,12.0
smitrans_esm1b_KKM,-0.43269957628464883,13.0
rdkitfp_esmc_KKM,-0.4351421451168944,14.0
molebert_prott5_KKM,-0.4422550716534228,15.0
molebert_esmc_KKM,-0.4545900706290992,16.0
ecfp_esmc_KKM,-0.4578577556988155,17.0
molgen_esmc_KKM,-0.48947034849036086,18.0
ecfp_esm1b_KKM,-0.4898752284445047,19.0
rdkitfp_prollama_KKM,-0.4920127658969383,20.0
ecfp_prott5_KKM,-0.5025374643440512,21.0
molgen_prott5_KKM,-0.5779418211415052,22.0
molebert_prollama_KKM,-0.5984031458049451,23.0
ecfp_prollama_KKM,-0.6031145936262805,24.0
unimolv2_prollama_KKM,-0.6189690979214776,25.0
molgen_esm2_KKM,-0.6256617478147681,26.0
molebert_esm1b_KKM,-0.6502437344843826,27.0
smitrans_prollama_KKM,-0.6530429763551101,28.0
chemberta2_esm1b_KKM,-0.6658720610165307,29.0
maccskeys_esm1b_KKM,-0.6712912185790416,30.0
rdkitfp_esm1b_KKM,-0.68125996317173,31.0
unimolv2_esm1b_KKM,-0.7206894518810455,32.0
unimolv1_esm2_KKM,-0.7554267360565079,33.0
molebert_esm2_KKM,-0.7744219268212076,34.0
smitrans_esmc_KKM,-0.7871457416112108,35.0
ecfp_esm2_KKM,-0.8149554248021744,36.0
chemberta2_prollama_KKM,-0.8510397991294937,37.0
maccskeys_esm2_KKM,-0.854348851209423,38.0
unimolv1_esm1b_KKM,-0.8872114768300942,39.0
molgen_prollama_KKM,-0.8905251083290555,40.0
molgen_esm1b_KKM,-0.9745762055224463,41.0
unimolv2_esm2_KKM,-1.0610406498155232,42.0
chemberta2_esmc_KKM,-1.161411458759276,43.0
smitrans_esm2_KKM,-1.1774270652274095,44.0
chemberta2_esm2_KKM,-1.260683058698779,45.0
