Model,Mean Value (Key 1),Rank (Key 1)
unimolv1_esmc_KM,0.8107864332805976,1.0
unimolv1_prott5_KM,0.8106155430945314,2.0
molgen_prott5_KM,0.8103997265829591,3.0
molgen_esmc_KM,0.8100670300525019,4.0
smitrans_esmc_KM,0.8100161448315415,5.0
smitrans_prott5_KM,0.8094185317441323,6.0
unimolv2_prott5_KM,0.8093519972232615,7.0
chemberta2_prott5_KM,0.8083707937867374,8.0
chemberta2_esmc_KM,0.8077422124756449,9.0
unimolv2_esmc_KM,0.8074967277305903,10.0
molebert_esmc_KM,0.8061248553785267,11.0
molebert_prott5_KM,0.8058377764497966,12.0
molgen_esm2_KM,0.8053368931636843,13.0
unimolv1_esm2_KM,0.8045650068600627,14.0
unimolv2_esm2_KM,0.8039779610637998,15.0
unimolv1_esm1b_KM,0.8026934237459443,16.0
smitrans_esm2_KM,0.8024937762175328,17.0
chemberta2_esm2_KM,0.8024783371673193,18.0
unimolv2_esm1b_KM,0.8019141441936981,19.0
smitrans_esm1b_KM,0.8014017338004915,20.0
molgen_esm1b_KM,0.8013788625201027,21.0
molebert_esm2_KM,0.8013779825605585,22.0
chemberta2_esm1b_KM,0.8009439170302068,23.0
molebert_esm1b_KM,0.7972462169474641,24.0
ecfp_esmc_KM,0.7937491755613195,25.0
ecfp_prott5_KM,0.7934162455655499,26.0
ecfp_esm2_KM,0.7920727602247128,27.0
smitrans_prollama_KM,0.7885987180185131,28.0
molgen_prollama_KM,0.7879531132148476,29.0
rdkitfp_prott5_KM,0.7876331939205512,30.0
ecfp_esm1b_KM,0.7876116850507265,31.0
maccskeys_esm2_KM,0.7862514133362118,32.0
maccskeys_prott5_KM,0.7859970074023982,33.0
rdkitfp_esmc_KM,0.7858765326338637,34.0
unimolv1_prollama_KM,0.785032789412331,35.0
chemberta2_prollama_KM,0.784788295795479,36.0
unimolv2_prollama_KM,0.7847595539929892,37.0
maccskeys_esmc_KM,0.7834851201610803,38.0
molebert_prollama_KM,0.7811914293378921,39.0
rdkitfp_esm2_KM,0.780526918813187,40.0
maccskeys_esm1b_KM,0.7792144401150571,41.0
rdkitfp_esm1b_KM,0.7771106225403684,42.0
ecfp_prollama_KM,0.7609354511019629,43.0
rdkitfp_prollama_KM,0.7543980130140714,44.0
maccskeys_prollama_KM,0.7497585281624339,45.0
